point_id,grid_x_km,grid_y_km,latitude_deg,longitude_deg,elevation_m,slope_deg,roughness_m,annual_illumination_pct,max_temp_k,min_temp_k,psr_flag,ice_prob,weh_wt_pct,radiation_msv_yr,shielding_factor,earth_vis_pct,suitability_score,zone_class
SP_GRID_000_013,-206.46,-280.0,-80.0,-126.4041,1811.9,0.68,0.37,64.0,208.0,151.2,0,0.0,0.19,347.3,0.132,64.0,55.66,Spaceport / Landing Pad
SP_GRID_000_014,-200.81,-280.0,-80.0,-125.647,1700.8,0.6,0.26,63.0,207.3,150.4,0,0.0,0.26,347.4,0.132,63.0,55.3,Spaceport / Landing Pad
SP_GRID_000_015,-195.15,-280.0,-80.0,-124.8753,1599.2,0.85,0.22,62.0,206.5,149.6,0,0.0,0.34,345.0,0.142,62.0,54.93,Spaceport / Landing Pad
SP_GRID_000_016,-189.49,-280.0,-80.0,-124.0889,1513.1,0.5,0.29,61.3,206.0,149.1,0,0.0,0.29,342.8,0.151,61.2,54.86,Spaceport / Landing Pad
SP_GRID_000_017,-183.84,-280.0,-80.0,-123.2875,1446.7,0.69,0.42,60.6,205.5,148.5,0,0.0,0.1,340.7,0.159,60.5,54.63,Spaceport / Landing Pad
SP_GRID_000_018,-178.18,-280.0,-80.0,-122.4712,1402.0,0.5,0.33,60.3,205.2,148.2,0,0.0,0.13,339.6,0.164,60.1,54.6,Spaceport / Landing Pad
SP_GRID_000_019,-172.53,-280.0,-80.0,-121.6398,1378.2,0.5,0.19,60.1,205.1,148.1,0,0.0,0.07,338.9,0.166,59.9,54.54,Spaceport / Landing Pad
SP_GRID_000_020,-166.87,-280.0,-80.0,-120.7932,1372.8,1.28,0.39,59.6,204.7,147.7,0,0.0,0.09,338.1,0.17,59.8,54.15,Spaceport / Landing Pad
SP_GRID_000_021,-161.21,-280.0,-80.0,-119.9315,1380.9,0.74,0.28,60.0,205.0,148.0,0,0.0,0.13,338.8,0.167,59.9,54.45,Spaceport / Landing Pad
SP_GRID_000_022,-155.56,-280.0,-80.0,-119.0546,1396.4,0.92,0.34,60.0,205.0,148.0,0,0.0,0.11,339.1,0.166,60.1,54.41,Spaceport / Landing Pad
SP_GRID_000_023,-149.9,-280.0,-80.0,-118.1625,1412.0,0.5,0.36,60.4,205.3,148.3,0,0.0,0.11,339.9,0.163,60.2,54.62,Spaceport / Landing Pad
SP_GRID_000_024,-144.24,-280.0,-80.0,-117.2553,1420.4,0.55,0.29,60.4,205.3,148.3,0,0.0,0.12,340.1,0.162,60.3,54.62,Spaceport / Landing Pad
SP_GRID_000_025,-138.59,-280.0,-80.0,-116.3331,1414.4,0.69,0.39,60.3,205.2,148.3,0,0.0,0.14,339.8,0.163,60.2,54.56,Spaceport / Landing Pad
SP_GRID_000_026,-132.93,-280.0,-80.0,-115.3959,1388.3,0.5,0.35,60.2,205.1,148.1,0,0.0,0.09,339.2,0.165,60.0,54.56,Spaceport / Landing Pad
SP_GRID_000_027,-127.27,-280.0,-80.0,-114.444,1337.8,0.83,0.34,59.5,204.7,147.6,0,0.0,0.13,337.4,0.172,59.5,54.31,Spaceport / Landing Pad
SP_GRID_000_028,-121.62,-280.0,-80.0,-113.4774,1260.6,0.68,0.19,58.9,204.2,147.1,0,0.0,0.26,335.3,0.181,58.8,54.19,Spaceport / Landing Pad
SP_GRID_000_029,-115.96,-280.0,-80.0,-112.4965,1157.0,1.09,0.43,57.7,203.3,146.2,0,0.0,0.12,332.0,0.194,57.8,53.75,Spaceport / Landing Pad
SP_GRID_000_030,-110.3,-280.0,-80.0679,-111.5014,1029.6,1.23,0.47,56.5,202.4,145.2,0,0.0,0.1,328.2,0.21,56.5,53.36,Spaceport / Landing Pad
SP_GRID_000_031,-104.65,-280.0,-80.1348,-110.4926,883.4,2.42,0.31,54.6,200.9,143.7,0,0.0,0.07,323.0,0.231,55.1,52.11,Spaceport / Landing Pad
SP_GRID_000_032,-98.99,-280.0,-80.1986,-109.4703,725.2,1.78,0.37,53.4,200.0,142.7,0,0.0,0.2,319.0,0.247,53.6,52.26,Spaceport / Landing Pad
SP_GRID_000_033,-93.33,-280.0,-80.2592,-108.4349,563.7,1.37,0.27,52.1,199.1,141.7,0,0.0,0.3,314.7,0.264,52.1,52.16,Spaceport / Landing Pad
SP_GRID_000_034,-87.68,-280.0,-80.3166,-107.387,408.2,2.01,0.47,50.4,197.8,140.3,0,0.0,0.07,309.7,0.285,50.6,51.32,Spaceport / Landing Pad
SP_GRID_000_035,-82.02,-280.0,-80.3708,-106.3269,268.4,0.97,0.38,49.6,197.2,139.6,0,0.0,0.21,306.5,0.298,49.3,51.68,Spaceport / Landing Pad
SP_GRID_000_036,-76.36,-280.0,-80.4216,-105.2551,153.3,1.21,0.23,48.4,196.3,138.7,0,0.0,0.25,303.0,0.312,48.2,51.28,Spaceport / Landing Pad
SP_GRID_000_037,-70.71,-280.0,-80.469,-104.1723,70.9,0.5,0.4,47.9,196.0,138.4,0,0.0,0.23,301.2,0.319,47.4,51.41,Spaceport / Landing Pad
SP_GRID_000_038,-65.05,-280.0,-80.513,-103.0791,27.5,0.5,0.19,47.5,195.7,138.0,0,0.0,0.31,300.0,0.324,47.0,51.3,Spaceport / Landing Pad
SP_GRID_000_039,-59.39,-280.0,-80.5535,-101.9761,26.7,0.5,0.37,47.5,195.7,138.0,0,0.0,0.31,299.9,0.324,46.9,51.3,Spaceport / Landing Pad
SP_GRID_000_040,-53.74,-280.0,-80.5904,-100.8641,69.9,1.08,0.31,47.7,195.7,138.1,0,0.0,0.07,300.7,0.321,47.4,51.15,Spaceport / Landing Pad
SP_GRID_000_041,-48.08,-280.0,-80.6238,-99.7436,155.6,1.32,0.29,48.3,196.3,138.7,0,0.0,0.16,303.0,0.312,48.2,51.21,Spaceport / Landing Pad
SP_GRID_000_042,-42.42,-280.0,-80.6536,-98.6156,279.8,1.6,0.26,49.4,197.0,139.5,0,0.0,0.25,306.3,0.298,49.4,51.33,Spaceport / Landing Pad
SP_GRID_000_043,-36.77,-280.0,-80.6797,-97.4809,435.9,1.83,0.28,50.7,198.0,140.6,0,0.0,0.34,310.6,0.281,50.9,51.54,Spaceport / Landing Pad
SP_GRID_000_044,-31.11,-280.0,-80.7022,-96.3402,615.7,1.54,0.41,52.5,199.4,142.0,0,0.0,0.29,316.1,0.259,52.6,52.17,Spaceport / Landing Pad
SP_GRID_000_045,-25.45,-280.0,-80.721,-95.1944,809.4,1.91,0.4,54.1,200.6,143.3,0,0.0,0.1,321.3,0.238,54.4,52.36,Spaceport / Landing Pad
SP_GRID_000_046,-19.8,-280.0,-80.736,-94.0445,1007.0,1.96,0.27,55.9,201.9,144.7,0,0.0,0.13,327.0,0.215,56.3,52.8,Spaceport / Landing Pad
SP_GRID_000_047,-14.14,-280.0,-80.7473,-92.8913,1198.2,2.41,0.3,57.5,203.1,146.0,0,0.0,0.28,332.1,0.194,58.2,52.87,Spaceport / Landing Pad
SP_GRID_000_048,-8.48,-280.0,-80.7548,-91.7357,1373.9,1.86,0.25,59.4,204.5,147.5,0,0.0,0.19,337.6,0.172,59.8,53.75,Spaceport / Landing Pad
SP_GRID_000_049,-2.83,-280.0,-80.7586,-90.5787,1526.2,0.71,0.37,61.3,206.0,149.1,0,0.0,0.21,343.0,0.15,61.3,54.82,Spaceport / Landing Pad
SP_GRID_000_050,2.83,-280.0,-80.7586,-89.4213,1649.4,1.21,0.4,62.2,206.7,149.8,0,0.0,0.23,346.1,0.137,62.5,54.86,Spaceport / Landing Pad
SP_GRID_000_051,8.48,-280.0,-80.7548,-88.2643,1740.0,0.66,0.16,63.3,207.5,150.7,0,0.0,0.08,347.3,0.132,63.4,55.41,Spaceport / Landing Pad
SP_GRID_000_052,14.14,-280.0,-80.7473,-87.1087,1797.4,0.5,0.3,64.0,208.0,151.2,0,0.0,0.31,347.5,0.132,63.9,55.67,Spaceport / Landing Pad
SP_GRID_000_053,19.8,-280.0,-80.736,-85.9555,1822.9,1.02,0.2,63.9,208.0,151.2,0,0.0,0.31,347.0,0.133,64.1,55.54,Spaceport / Landing Pad
SP_GRID_000_054,25.45,-280.0,-80.721,-84.8056,1820.6,1.34,0.46,63.8,207.8,151.0,0,0.0,0.19,346.8,0.134,64.1,55.35,Spaceport / Landing Pad
SP_GRID_000_055,31.11,-280.0,-80.7022,-83.6598,1796.3,1.41,0.47,63.5,207.6,150.8,0,0.0,0.24,346.7,0.135,63.9,55.22,Spaceport / Landing Pad
SP_GRID_000_056,36.77,-280.0,-80.6797,-82.5191,1757.0,0.75,0.36,63.5,207.6,150.8,0,0.0,0.25,347.3,0.132,63.5,55.44,Spaceport / Landing Pad
SP_GRID_000_057,42.42,-280.0,-80.6536,-81.3844,1710.5,0.91,0.44,63.0,207.2,150.4,0,0.0,0.11,347.1,0.133,63.1,55.2,Spaceport / Landing Pad
SP_GRID_000_058,48.08,-280.0,-80.6238,-80.2564,1664.6,1.03,0.42,62.5,206.9,150.0,0,0.0,0.08,346.7,0.135,62.6,55.0,Spaceport / Landing Pad
SP_GRID_000_059,53.74,-280.0,-80.5904,-79.1359,1626.3,1.06,0.42,62.1,206.6,149.7,0,0.0,0.06,345.6,0.139,62.3,54.89,Spaceport / Landing Pad
SP_GRID_000_060,59.39,-280.0,-80.5535,-78.0239,1601.5,0.5,0.31,62.1,206.6,149.7,0,0.0,0.32,345.3,0.14,62.0,55.07,Spaceport / Landing Pad
SP_GRID_000_061,65.05,-280.0,-80.513,-76.9209,1594.0,0.5,0.23,62.1,206.6,149.7,0,0.0,0.15,345.1,0.141,62.0,55.06,Spaceport / Landing Pad
SP_GRID_000_062,70.71,-280.0,-80.469,-75.8277,1605.7,0.5,0.2,62.2,206.6,149.7,0,0.0,0.08,345.4,0.14,62.1,55.08,Spaceport / Landing Pad
SP_GRID_000_063,76.36,-280.0,-80.4216,-74.7449,1635.9,0.5,0.23,62.5,206.8,150.0,0,0.0,0.19,346.3,0.136,62.4,55.16,Spaceport / Landing Pad
SP_GRID_000_064,82.02,-280.0,-80.3708,-73.6731,1682.0,1.1,0.37,62.6,206.9,150.1,0,0.0,0.07,347.0,0.134,62.8,55.0,Spaceport / Landing Pad
SP_GRID_000_065,87.68,-280.0,-80.3166,-72.613,1739.0,1.48,0.26,62.9,207.2,150.4,0,0.0,0.08,346.7,0.135,63.3,54.98,Spaceport / Landing Pad
SP_GRID_000_066,93.33,-280.0,-80.2592,-71.5651,1800.5,0.97,0.25,63.8,207.8,151.0,0,0.0,0.2,347.1,0.133,63.9,55.49,Spaceport / Landing Pad
SP_GRID_000_067,98.99,-280.0,-80.1986,-70.5297,1858.8,1.37,0.34,64.1,208.1,151.3,0,0.0,0.2,346.8,0.135,64.5,55.46,Spaceport / Landing Pad
SP_GRID_000_068,104.65,-280.0,-80.1348,-69.5074,1905.8,0.98,0.24,64.7,208.6,151.8,0,0.0,0.22,347.1,0.133,64.9,55.85,Spaceport / Landing Pad
SP_GRID_000_069,110.3,-280.0,-80.0679,-68.4986,1933.8,0.5,0.31,65.2,208.9,152.2,0,0.0,0.25,347.5,0.132,65.2,56.15,Spaceport / Landing Pad
SP_GRID_000_070,115.96,-280.0,-80.0,-67.5035,1935.9,0.6,0.42,65.2,208.9,152.2,0,0.0,0.25,347.4,0.132,65.2,56.12,Spaceport / Landing Pad
SP_GRID_000_071,121.62,-280.0,-80.0,-66.5226,1906.8,1.13,0.4,64.7,208.5,151.7,0,0.0,0.18,347.0,0.134,64.9,55.77,Spaceport / Landing Pad
SP_GRID_000_072,127.27,-280.0,-80.0,-65.556,1843.0,0.81,0.36,64.2,208.2,151.4,0,0.0,0.24,347.2,0.133,64.3,55.71,Spaceport / Landing Pad
SP_GRID_000_073,132.93,-280.0,-80.0,-64.6041,1743.9,1.83,0.4,62.8,207.1,150.3,0,0.0,0.14,346.4,0.136,63.4,54.74,Spaceport / Landing Pad
SP_GRID_000_074,138.59,-280.0,-80.0,-63.6669,1611.0,0.53,0.28,62.2,206.7,149.8,0,0.0,0.18,345.6,0.139,62.1,55.09,Spaceport / Landing Pad
SP_GRID_000_075,144.24,-280.0,-80.0,-62.7447,1448.6,2.21,0.31,59.9,204.9,147.9,0,0.0,0.17,339.5,0.164,60.6,53.64,Spaceport / Landing Pad
SP_GRID_000_076,149.9,-280.0,-80.0,-61.8375,1263.2,2.14,0.52,58.2,203.7,146.6,0,0.0,0.15,334.2,0.185,58.8,53.26,Spaceport / Landing Pad
SP_GRID_000_077,155.56,-280.0,-80.0,-60.9454,1063.2,2.1,0.32,56.4,202.3,145.1,0,0.0,0.12,328.5,0.209,56.9,52.82,Spaceport / Landing Pad
SP_GRID_000_078,161.21,-280.0,-80.0,-60.0685,858.4,2.25,0.29,54.4,200.8,143.5,0,0.0,0.07,322.5,0.233,54.9,52.19,Spaceport / Landing Pad
SP_GRID_000_079,166.87,-280.0,-80.0,-59.2068,658.9,1.29,0.42,53.0,199.8,142.4,0,0.0,0.2,317.5,0.253,53.0,52.44,Spaceport / Landing Pad
SP_GRID_000_080,172.53,-280.0,-80.0,-58.3602,475.2,1.76,0.28,51.1,198.3,140.9,0,0.0,0.21,311.8,0.276,51.2,51.68,Spaceport / Landing Pad
SP_GRID_000_081,178.18,-280.0,-80.0,-57.5288,316.6,1.64,0.33,49.7,197.3,139.7,0,0.0,0.15,307.3,0.294,49.7,51.39,Spaceport / Landing Pad
SP_GRID_000_082,183.84,-280.0,-80.0,-56.7125,191.1,1.68,0.23,48.5,196.4,138.8,0,0.0,0.34,303.7,0.309,48.5,51.06,Spaceport / Landing Pad
SP_GRID_000_083,189.49,-280.0,-80.0,-55.9111,104.5,0.5,0.18,48.3,196.2,138.6,0,0.0,0.22,302.2,0.315,47.7,51.49,Spaceport / Landing Pad
SP_GRID_000_084,195.15,-280.0,-80.0,-55.1247,60.5,0.5,0.19,47.9,195.9,138.3,0,0.0,0.32,300.9,0.32,47.3,51.38,Spaceport / Landing Pad
SP_GRID_000_085,200.81,-280.0,-80.0,-54.353,59.7,0.5,0.15,47.8,195.9,138.3,0,0.0,0.22,300.9,0.32,47.3,51.38,Spaceport / Landing Pad
SP_GRID_000_086,206.46,-280.0,-80.0,-53.5959,100.2,1.35,0.39,47.8,195.9,138.2,0,0.0,0.11,301.4,0.318,47.6,51.06,Spaceport / Landing Pad
SP_GRID_000_087,212.12,-280.0,-80.0,-52.8533,177.6,1.46,0.45,48.5,196.4,138.8,0,0.0,0.34,303.5,0.31,48.4,51.18,Spaceport / Landing Pad
SP_GRID_000_088,217.78,-280.0,-80.0,-52.125,285.5,1.37,0.31,49.5,197.1,139.6,0,0.0,0.32,306.7,0.297,49.4,51.5,Spaceport / Landing Pad
SP_GRID_000_089,223.43,-280.0,-80.0,-51.4108,415.6,1.93,0.5,50.5,197.8,140.4,0,0.0,0.19,310.0,0.284,50.7,51.4,Spaceport / Landing Pad
SP_GRID_000_090,229.09,-280.0,-80.0,-50.7106,558.7,1.8,0.29,51.8,198.9,141.5,0,0.0,0.12,314.2,0.266,52.0,51.85,Spaceport / Landing Pad
SP_GRID_000_091,234.75,-280.0,-80.0,-50.0241,705.6,2.07,0.34,53.1,199.8,142.5,0,0.0,0.12,318.2,0.25,53.4,51.99,Spaceport / Landing Pad
SP_GRID_000_092,240.4,-280.0,-80.0,-49.3511,847.3,1.23,0.23,54.8,201.1,143.8,0,0.0,0.29,323.0,0.231,54.8,52.93,Spaceport / Landing Pad
SP_GRID_000_093,246.06,-280.0,-80.0,-48.6914,975.8,1.14,0.37,56.0,202.0,144.8,0,0.0,0.07,326.8,0.216,56.0,53.29,Spaceport / Landing Pad
SP_GRID_000_094,251.72,-280.0,-80.0,-48.0448,1085.2,0.84,0.29,57.2,202.9,145.8,0,0.0,0.24,330.2,0.202,57.1,53.7,Spaceport / Landing Pad
SP_GRID_000_095,257.37,-280.0,-80.0,-47.411,1171.4,0.5,0.32,58.2,203.6,146.5,0,0.0,0.24,332.9,0.191,57.9,54.04,Spaceport / Landing Pad
SP_GRID_000_096,263.03,-280.0,-80.0,-46.7899,1232.6,0.75,0.38,58.6,204.0,146.9,0,0.0,0.1,334.5,0.184,58.5,54.1,Spaceport / Landing Pad
SP_GRID_000_097,268.69,-280.0,-80.0,-46.1812,1269.7,0.76,0.32,58.9,204.2,147.2,0,0.0,0.26,335.5,0.18,58.8,54.18,Spaceport / Landing Pad
SP_GRID_000_098,274.34,-280.0,-80.0,-45.5846,1285.7,0.78,0.34,59.1,204.3,147.3,0,0.0,0.26,336.0,0.178,59.0,54.21,Spaceport / Landing Pad
SP_GRID_000_099,280.0,-280.0,-80.0,-45.0,1285.3,0.79,0.44,59.1,204.3,147.3,0,0.0,0.16,336.0,0.178,59.0,54.2,Spaceport / Landing Pad
SP_GRID_001_000,-280.0,-274.34,-80.0,-135.5846,1311.2,1.7,0.31,58.9,204.2,147.1,0,0.0,0.2,336.0,0.178,59.2,53.73,Spaceport / Landing Pad
SP_GRID_001_001,-274.34,-274.34,-80.0,-135.0,1516.9,1.98,0.35,60.6,205.5,148.5,0,0.0,0.3,341.7,0.155,61.2,54.0,Spaceport / Landing Pad
SP_GRID_001_002,-268.69,-274.34,-80.0,-134.4032,1706.7,1.76,0.44,62.5,206.9,150.0,0,0.0,0.21,346.4,0.136,63.0,54.66,Spaceport / Landing Pad
SP_GRID_001_003,-263.03,-274.34,-80.0,-133.794,1871.7,1.24,0.37,64.3,208.2,151.4,0,0.0,0.24,346.9,0.134,64.6,55.59,Spaceport / Landing Pad
SP_GRID_001_004,-257.37,-274.34,-80.0,-133.172,2004.4,1.1,0.23,65.6,209.2,152.5,0,0.0,0.17,347.0,0.134,65.9,56.13,Spaceport / Landing Pad
SP_GRID_001_005,-251.72,-274.34,-80.0,-132.5372,2100.1,0.94,0.28,66.6,209.9,153.2,0,0.0,0.09,347.1,0.133,66.8,56.54,Spaceport / Landing Pad
SP_GRID_001_006,-246.06,-274.34,-80.0,-131.8892,2156.0,1.29,0.33,66.9,210.2,153.5,0,0.0,0.35,346.8,0.134,67.3,56.54,Spaceport / Landing Pad
SP_GRID_001_007,-240.4,-274.34,-80.0,-131.2277,2172.4,0.71,0.28,67.3,210.5,153.9,0,0.0,0.21,347.3,0.132,67.5,56.9,Spaceport / Landing Pad
SP_GRID_001_008,-234.75,-274.34,-80.0,-130.5526,2152.0,1.03,0.23,67.0,210.2,153.6,0,0.0,0.15,347.0,0.133,67.3,56.68,Spaceport / Landing Pad
SP_GRID_001_009,-229.09,-274.34,-80.0,-129.8636,2099.8,1.16,0.46,66.4,209.8,153.2,0,0.0,0.26,346.9,0.134,66.8,56.42,Spaceport / Landing Pad
SP_GRID_001_010,-223.43,-274.34,-80.0,-129.1605,2022.6,0.62,0.37,66.0,209.5,152.8,0,0.0,0.24,347.4,0.132,66.1,56.41,Spaceport / Landing Pad
SP_GRID_001_011,-217.78,-274.34,-80.0,-128.4431,1928.5,1.46,0.35,64.7,208.5,151.8,0,0.0,0.12,346.7,0.135,65.2,55.64,Spaceport / Landing Pad
SP_GRID_001_012,-212.12,-274.34,-80.0,-127.711,1826.2,1.48,0.41,63.8,207.8,151.0,0,0.0,0.31,346.7,0.135,64.2,55.28,Spaceport / Landing Pad
SP_GRID_001_013,-206.46,-274.34,-80.0,-126.9643,1724.1,2.32,0.53,62.4,206.8,149.9,0,0.0,0.07,346.0,0.138,63.2,54.26,Spaceport / Landing Pad
SP_GRID_001_014,-200.81,-274.34,-80.0,-126.2026,1630.1,1.04,0.21,62.1,206.6,149.7,0,0.0,0.23,345.7,0.139,62.3,54.91,Spaceport / Landing Pad
SP_GRID_001_015,-195.15,-274.34,-80.0,-125.4258,1550.5,0.96,0.24,61.4,206.1,149.2,0,0.0,0.19,343.5,0.148,61.5,54.76,Spaceport / Landing Pad
SP_GRID_001_016,-189.49,-274.34,-80.0,-124.6337,1489.5,0.53,0.3,61.1,205.8,148.9,0,0.0,0.15,342.1,0.154,61.0,54.79,Spaceport / Landing Pad
SP_GRID_001_017,-183.84,-274.34,-80.0,-123.8262,1449.4,0.5,0.37,60.7,205.5,148.6,0,0.0,0.3,340.9,0.158,60.6,54.71,Spaceport / Landing Pad
SP_GRID_001_018,-178.18,-274.34,-80.0,-123.0031,1430.1,0.8,0.17,60.4,205.3,148.3,0,0.0,0.25,340.1,0.161,60.4,54.54,Spaceport / Landing Pad
SP_GRID_001_019,-172.53,-274.34,-80.0,-122.1644,1429.0,0.85,0.45,60.4,205.3,148.3,0,0.0,0.28,340.1,0.162,60.4,54.52,Spaceport / Landing Pad
SP_GRID_001_020,-166.87,-274.34,-80.0,-121.31,1441.7,1.05,0.31,60.4,205.3,148.3,0,0.0,0.17,340.3,0.161,60.5,54.45,Spaceport / Landing Pad
SP_GRID_001_021,-161.21,-274.34,-80.0,-120.4397,1462.0,0.5,0.24,60.8,205.6,148.7,0,0.0,0.33,341.3,0.157,60.7,54.74,Spaceport / Landing Pad
SP_GRID_001_022,-155.56,-274.34,-80.0,-119.5537,1482.8,1.43,0.29,60.6,205.4,148.5,0,0.0,0.15,341.1,0.157,60.9,54.33,Spaceport / Landing Pad
SP_GRID_001_023,-149.9,-274.34,-80.0,-118.6518,1496.8,0.5,0.19,61.2,205.9,148.9,0,0.0,0.21,342.3,0.153,61.0,54.82,Spaceport / Landing Pad
SP_GRID_001_024,-144.24,-274.34,-80.0,-117.7342,1496.5,0.95,0.4,61.0,205.7,148.8,0,0.0,0.33,341.9,0.154,61.0,54.64,Spaceport / Landing Pad
SP_GRID_001_025,-138.59,-274.34,-80.0,-116.8008,1475.9,1.51,0.49,60.5,205.4,148.4,0,0.0,0.07,340.9,0.158,60.8,54.25,Spaceport / Landing Pad
SP_GRID_001_026,-132.93,-274.34,-80.0,-115.8519,1430.3,0.5,0.26,60.6,205.4,148.4,0,0.0,0.08,340.4,0.16,60.4,54.66,Spaceport / Landing Pad
SP_GRID_001_027,-127.27,-274.34,-80.0189,-114.8874,1357.0,0.66,0.43,59.8,204.8,147.8,0,0.0,0.35,338.1,0.169,59.7,54.43,Spaceport / Landing Pad
SP_GRID_001_028,-121.62,-274.34,-80.096,-113.9077,1255.9,1.2,0.43,58.6,203.9,146.9,0,0.0,0.34,334.8,0.183,58.7,53.92,Spaceport / Landing Pad
SP_GRID_001_029,-115.96,-274.34,-80.1702,-112.9128,1129.0,1.23,0.33,57.4,203.1,145.9,0,0.0,0.28,331.1,0.198,57.5,53.6,Spaceport / Landing Pad
SP_GRID_001_030,-110.3,-274.34,-80.2413,-111.9032,980.9,1.04,0.37,56.1,202.1,144.9,0,0.0,0.2,327.0,0.215,56.1,53.35,Spaceport / Landing Pad
SP_GRID_001_031,-104.65,-274.34,-80.3094,-110.879,818.4,1.83,0.36,54.2,200.7,143.4,0,0.0,0.2,321.7,0.236,54.5,52.45,Spaceport / Landing Pad
SP_GRID_001_032,-98.99,-274.34,-80.3744,-109.8407,649.8,1.42,0.37,52.9,199.7,142.3,0,0.0,0.13,317.1,0.255,52.9,52.34,Spaceport / Landing Pad
SP_GRID_001_033,-93.33,-274.34,-80.4361,-108.7886,484.4,1.96,0.25,51.1,198.3,140.9,0,0.0,0.18,311.9,0.276,51.3,51.55,Spaceport / Landing Pad
SP_GRID_001_034,-87.68,-274.34,-80.4946,-107.7232,332.0,1.21,0.39,50.0,197.5,140.0,0,0.0,0.18,308.1,0.291,49.9,51.7,Spaceport / Landing Pad
SP_GRID_001_035,-82.02,-274.34,-80.5498,-106.645,202.0,1.9,0.25,48.5,196.4,138.8,0,0.0,0.06,303.8,0.308,48.6,50.92,Spaceport / Landing Pad
SP_GRID_001_036,-76.36,-274.34,-80.6015,-105.5546,102.9,0.58,0.39,48.2,196.2,138.6,0,0.0,0.19,302.1,0.316,47.7,51.45,Spaceport / Landing Pad
SP_GRID_001_037,-70.71,-274.34,-80.6499,-104.4524,41.2,0.5,0.38,47.7,195.8,138.1,0,0.0,0.19,300.4,0.322,47.1,51.33,Spaceport / Landing Pad
SP_GRID_001_038,-65.05,-274.34,-80.6947,-103.3392,21.6,0.5,0.21,47.5,195.6,138.0,0,0.0,0.25,299.8,0.325,46.9,51.29,Spaceport / Landing Pad
SP_GRID_001_039,-59.39,-274.34,-80.736,-102.2157,46.0,0.5,0.23,47.7,195.8,138.2,0,0.0,0.2,300.5,0.322,47.1,51.35,Spaceport / Landing Pad
SP_GRID_001_040,-53.74,-274.34,-80.7737,-101.0826,113.6,1.16,0.33,48.0,196.0,138.4,0,0.0,0.31,301.9,0.316,47.8,51.21,Spaceport / Landing Pad
SP_GRID_001_041,-48.08,-274.34,-80.8078,-99.9406,220.9,2.01,0.42,48.6,196.5,138.9,0,0.0,0.16,304.3,0.307,48.8,50.88,Spaceport / Landing Pad
SP_GRID_001_042,-42.42,-274.34,-80.8381,-98.7905,362.2,1.18,0.27,50.3,197.7,140.3,0,0.0,0.17,309.0,0.287,50.2,51.79,Spaceport / Landing Pad
