sample_id,latitude_deg,longitude_deg,lend_epithermal_cps,neutron_suppression_index,weh_wt_pct,weh_ppm,water_ice_probability,is_cold_trap
LEND_00178,-80.6327,13.8107,3.51,0.246,1.97,1970,0.481,0
LEND_00179,-88.6248,148.7627,3.55,0.237,2.09,2090,0.498,0
LEND_00180,-86.5893,-40.3298,4.03,0.134,1.98,1980,0.427,0
LEND_00181,-88.8653,118.6437,3.81,0.18,0.85,850,0.245,0
LEND_00182,-80.7531,-131.8696,3.78,0.186,1.04,1040,0.282,0
LEND_00183,-81.2266,156.742,3.6,0.225,2.15,2150,0.504,0
LEND_00184,-87.4206,90.5124,3.61,0.224,0.92,920,0.279,0
LEND_00185,-83.4002,158.8804,4.06,0.127,0.56,560,0.165,0
LEND_00186,-81.8278,63.5822,4.08,0.123,0.84,840,0.214,0
LEND_00187,-84.448,-49.1746,3.89,0.163,2.13,2130,0.469,0
LEND_00188,-84.7035,157.7452,3.71,0.203,1.09,1090,0.3,0
LEND_00189,-87.5815,-80.796,4.15,0.107,2.07,2070,0.43,0
LEND_00190,-89.069,-60.4179,2.92,0.373,3.94,3940,0.903,1
LEND_00191,-81.0278,72.291,4.06,0.127,1.76,1760,0.384,0
LEND_00192,-80.9958,95.5139,3.5,0.247,0.48,480,0.211,0
LEND_00193,-83.669,154.5853,3.82,0.18,0.68,680,0.213,0
LEND_00194,-86.6097,-106.2711,4.11,0.116,1.47,1470,0.325,0
LEND_00195,-86.5079,107.2793,3.74,0.196,1.13,1130,0.304,0
LEND_00196,-82.7404,85.8766,4.01,0.138,1.57,1570,0.354,0
LEND_00197,-81.0289,-157.034,3.96,0.148,2.15,2150,0.465,0
LEND_00198,-81.1291,-40.5997,3.61,0.224,0.4,400,0.185,0
LEND_00199,-82.2012,-78.2044,4.04,0.131,0.66,660,0.185,0
LEND_00200,-83.5797,-70.3834,3.58,0.23,1.52,1520,0.392,0
LEND_00201,-89.1586,173.8609,4.01,0.138,2.0,2000,0.433,0
LEND_00202,-88.3837,51.3999,4.19,0.098,1.82,1820,0.38,0
LEND_00203,-81.0145,78.3634,4.17,0.103,1.18,1180,0.266,0
LEND_00204,-83.9357,171.5823,4.06,0.127,1.72,1720,0.376,0
LEND_00205,-89.908,-44.2074,3.87,0.167,0.7,700,0.211,0
LEND_00206,-88.9853,108.6625,3.97,0.146,0.33,330,0.133,0
LEND_00207,-83.365,-23.5689,4.01,0.138,1.38,1380,0.32,0
LEND_00208,-89.9494,133.0321,3.51,0.246,1.85,1850,0.459,0
LEND_00209,-88.3919,-114.9633,3.57,0.232,1.12,1120,0.32,0
LEND_00210,-84.5127,161.167,3.92,0.157,1.38,1380,0.33,0
LEND_00211,-83.081,-101.2422,3.5,0.246,1.1,1100,0.323,0
LEND_00212,-83.4804,-62.5606,4.14,0.11,1.28,1280,0.288,0
LEND_00213,-87.7573,92.2292,3.84,0.174,1.98,1980,0.447,0
LEND_00214,-82.8782,-38.2481,3.68,0.209,1.21,1210,0.324,0
LEND_00215,-87.6275,38.9561,3.78,0.188,0.31,310,0.15,0
LEND_00216,-86.746,-19.9535,4.1,0.119,1.82,1820,0.391,0
LEND_00217,-82.5351,87.2532,4.15,0.108,1.47,1470,0.321,0
LEND_00218,-83.5037,-97.8007,3.58,0.23,1.69,1690,0.422,0
LEND_00219,-81.5078,-158.9551,4.04,0.13,2.01,2010,0.431,0
LEND_00220,-83.4239,-72.0254,3.9,0.16,0.84,840,0.233,0
LEND_00221,-84.3169,-9.2489,3.91,0.159,1.26,1260,0.309,0
LEND_00222,-89.0633,-119.5128,4.05,0.13,1.44,1440,0.327,0
LEND_00223,-86.3228,-52.273,3.66,0.214,0.96,960,0.281,0
LEND_00224,-87.348,-36.0061,3.87,0.167,1.91,1910,0.431,0
LEND_00225,-87.5601,-159.3389,3.72,0.199,1.63,1630,0.396,0
LEND_00226,-80.2699,29.9906,3.57,0.233,1.69,1690,0.424,0
LEND_00227,-86.069,138.3636,3.57,0.231,1.84,1840,0.45,0
LEND_00228,-81.0795,-125.3726,3.6,0.227,0.79,790,0.257,0
LEND_00229,-83.6886,35.2109,3.93,0.155,1.72,1720,0.39,0
LEND_00230,-82.0519,59.3061,3.57,0.231,1.77,1770,0.438,0
LEND_00231,-84.9736,-29.0395,3.9,0.161,1.9,1900,0.426,0
LEND_00232,-84.231,72.3951,3.91,0.159,1.23,1230,0.303,0
LEND_00233,-85.0748,-32.1366,4.13,0.111,1.26,1260,0.285,0
LEND_00234,-88.0476,1.6694,3.94,0.153,0.49,490,0.166,0
LEND_00235,-82.7755,-177.3529,4.19,0.099,1.92,1920,0.399,0
LEND_00236,-87.1923,69.0192,3.52,0.243,1.31,1310,0.36,0
LEND_00237,-89.7568,58.0834,3.99,0.141,1.43,1430,0.331,0
LEND_00238,-83.5453,-166.1757,3.52,0.243,0.53,530,0.218,0
LEND_00239,-88.2289,-47.43,4.01,0.138,1.44,1440,0.331,0
LEND_00240,-80.5954,172.4515,3.77,0.189,0.38,380,0.164,0
LEND_00241,-80.4607,-28.5348,3.93,0.155,2.05,2050,0.45,0
LEND_00242,-80.8514,0.7003,3.72,0.201,1.94,1940,0.453,0
LEND_00243,-86.2984,147.5749,3.61,0.223,0.67,670,0.233,0
LEND_00244,-89.8454,78.2143,4.01,0.138,1.43,1430,0.329,0
LEND_00245,-80.7168,29.5452,4.13,0.111,1.45,1450,0.319,0
LEND_00246,-85.7182,107.2097,3.63,0.22,1.83,1830,0.443,0
LEND_00247,-80.3335,131.1719,4.14,0.109,1.74,1740,0.371,0
LEND_00248,-80.3638,-15.5203,3.6,0.226,2.19,2190,0.511,0
LEND_00249,-81.4699,-8.961,4.01,0.137,0.97,970,0.245,0
LEND_00250,-87.0555,-41.0217,4.17,0.103,0.54,540,0.15,0
LEND_00251,-86.149,168.0142,3.6,0.225,1.39,1390,0.365,0
LEND_00252,-81.4886,70.9799,3.8,0.182,1.75,1750,0.409,0
LEND_00253,-86.8308,-150.0397,3.74,0.197,0.84,840,0.251,0
LEND_00254,-88.3051,130.6655,3.77,0.189,0.75,750,0.231,0
LEND_00255,-84.432,-6.9984,4.03,0.134,1.82,1820,0.398,0
LEND_00256,-80.6385,-155.2486,3.96,0.148,1.73,1730,0.388,0
LEND_00257,-83.0397,17.8982,4.18,0.101,0.69,690,0.176,0
LEND_00258,-84.2994,-29.8209,3.63,0.219,1.95,1950,0.464,0
LEND_00259,-89.0282,135.9898,3.88,0.166,0.56,560,0.185,0
LEND_00260,-83.8499,-106.5619,3.81,0.18,0.51,510,0.183,0
LEND_00261,-80.0995,117.5273,4.14,0.109,0.97,970,0.231,0
LEND_00262,-88.5992,20.7679,3.51,0.246,1.98,1980,0.483,0
LEND_00263,-84.8167,-160.3403,4.19,0.098,1.62,1620,0.344,0
LEND_00264,-81.2263,169.8643,3.84,0.175,1.05,1050,0.278,0
LEND_00265,-82.5923,4.5415,3.94,0.153,0.6,600,0.186,0
LEND_00266,-83.0298,-75.2843,3.75,0.193,1.66,1660,0.398,0
LEND_00267,-82.9752,-11.0135,4.1,0.119,1.44,1440,0.321,0
LEND_00268,-86.4051,128.8288,3.89,0.163,2.18,2180,0.478,0
LEND_00269,-87.0641,-70.2349,3.96,0.148,1.75,1750,0.392,0
LEND_00270,-81.9064,-110.6365,3.95,0.15,0.49,490,0.164,0
LEND_00271,-81.8989,-133.5344,3.75,0.193,1.68,1680,0.402,0
LEND_00272,-81.3293,-72.7706,3.55,0.236,0.79,790,0.262,0
LEND_00273,-80.8676,100.8173,2.9,0.377,4.14,4140,0.941,1
LEND_00274,-84.8866,-10.2145,3.7,0.204,0.34,340,0.164,0
LEND_00275,-84.9848,-98.1066,4.09,0.12,0.75,750,0.196,0
LEND_00276,-82.017,-120.1734,3.93,0.156,1.25,1250,0.305,0
LEND_00277,-83.5004,-60.2174,3.75,0.194,0.45,450,0.179,0
LEND_00278,-82.9803,158.3728,3.92,0.158,0.95,950,0.252,0
LEND_00279,-82.0421,-56.5104,3.95,0.15,1.24,1240,0.301,0
LEND_00280,-81.0999,175.7247,3.99,0.141,1.15,1150,0.28,0
LEND_00281,-86.62,-5.317,4.08,0.124,1.18,1180,0.276,0
LEND_00282,-86.2442,-115.501,3.61,0.223,1.97,1970,0.47,0
LEND_00283,-89.0602,140.8104,4.16,0.105,1.26,1260,0.282,0
LEND_00284,-84.2172,-14.2721,3.79,0.185,2.09,2090,0.473,0
LEND_00285,-89.6406,75.4817,4.1,0.118,0.58,580,0.164,0
LEND_00286,-85.344,174.1362,3.65,0.214,0.83,830,0.258,0
LEND_00287,-84.5736,-161.9369,3.52,0.243,1.55,1550,0.403,0
LEND_00288,-87.1346,-145.19,3.9,0.161,0.84,840,0.233,0
LEND_00289,-84.0917,79.3644,3.73,0.198,0.96,960,0.274,0
LEND_00290,-89.695,-78.543,3.2,0.311,5.69,5690,0.98,1
LEND_00291,-89.6265,-113.6515,3.57,0.232,1.32,1320,0.356,0
LEND_00292,-81.774,-165.8297,2.89,0.378,5.46,5460,0.98,1
LEND_00293,-86.3981,-172.1352,3.53,0.241,1.78,1780,0.444,0
LEND_00294,-88.7294,98.8148,3.65,0.215,0.43,430,0.186,0
LEND_00295,-84.7776,-131.604,3.91,0.16,1.37,1370,0.329,0
LEND_00296,-82.3001,-11.6206,3.85,0.171,0.49,490,0.175,0
LEND_00297,-87.8418,38.1229,3.14,0.325,5.72,5720,0.98,1
LEND_00298,-83.7711,-25.7934,3.56,0.234,0.42,420,0.193,0
LEND_00299,-89.1465,-170.2416,3.66,0.212,2.01,2010,0.472,0
LEND_00300,-89.4832,102.0605,3.63,0.22,0.39,390,0.181,0
LEND_00301,-84.6865,-176.2152,4.02,0.135,1.28,1280,0.3,0
LEND_00302,-84.5936,94.2804,4.05,0.13,0.73,730,0.198,0
LEND_00303,-83.6257,141.5896,4.04,0.13,1.03,1030,0.252,0
LEND_00304,-82.7391,-24.1776,4.18,0.101,1.24,1240,0.276,0
LEND_00305,-80.2415,12.7953,4.12,0.114,1.16,1160,0.268,0
LEND_00306,-84.837,-8.286,3.85,0.172,1.72,1720,0.399,0
LEND_00307,-86.7704,-39.8849,2.78,0.402,5.04,5040,0.98,1
LEND_00308,-82.0481,139.4728,4.14,0.109,0.87,870,0.213,0
LEND_00309,-87.2917,141.8161,3.93,0.155,0.35,350,0.141,0
LEND_00310,-85.6103,-59.1061,3.71,0.203,2.0,2000,0.465,0
LEND_00311,-89.2154,41.4251,3.9,0.162,2.16,2160,0.474,0
LEND_00312,-89.7465,153.6867,4.19,0.098,1.12,1120,0.253,0
LEND_00313,-80.3735,166.3411,4.09,0.119,1.17,1170,0.272,0
LEND_00314,-81.6402,3.2253,3.7,0.205,0.57,570,0.206,0
LEND_00315,-83.0403,-16.9831,4.17,0.104,1.2,1200,0.27,0
LEND_00316,-85.9105,-79.67,4.19,0.1,0.88,880,0.21,0
LEND_00317,-88.2671,165.1939,3.66,0.213,2.19,2190,0.504,0
LEND_00318,-88.4356,-128.5869,4.13,0.112,0.65,650,0.174,0
LEND_00319,-87.4976,28.7386,4.12,0.114,1.02,1020,0.243,0
LEND_00320,-84.5077,-78.2819,3.53,0.241,1.47,1470,0.388,0
LEND_00321,-82.854,-79.557,3.97,0.146,0.96,960,0.248,0
LEND_00322,-83.398,-34.2113,3.71,0.201,1.2,1200,0.319,0
LEND_00323,-87.2007,179.5655,3.97,0.146,2.15,2150,0.464,0
LEND_00324,-80.4513,-160.2121,4.14,0.11,1.27,1270,0.286,0
LEND_00325,-82.621,28.2751,3.85,0.172,2.03,2030,0.455,0
LEND_00326,-84.4565,-150.274,3.79,0.185,0.38,380,0.162,0
LEND_00327,-83.8828,-124.3725,4.15,0.109,0.53,530,0.151,0
LEND_00328,-85.804,-21.7573,4.18,0.101,2.09,2090,0.43,0
LEND_00329,-87.5227,3.7656,3.54,0.238,0.54,540,0.217,0
LEND_00330,-86.4403,-86.8347,4.15,0.108,1.7,1700,0.363,0
LEND_00331,-82.4215,-66.0754,3.56,0.235,1.15,1150,0.327,0
LEND_00332,-89.8561,-148.6919,3.74,0.197,1.07,1070,0.293,0
LEND_00333,-88.8393,-70.8409,4.03,0.133,1.55,1550,0.348,0
LEND_00334,-89.54,167.961,3.11,0.331,4.17,4170,0.924,1
LEND_00335,-89.5927,160.0947,4.01,0.138,2.07,2070,0.445,0
LEND_00336,-81.4454,-59.4438,3.53,0.241,0.79,790,0.264,0
LEND_00337,-82.9634,25.5074,3.59,0.227,1.63,1630,0.41,0
LEND_00338,-85.2583,147.4543,4.16,0.106,0.95,950,0.226,0
LEND_00339,-89.0217,-177.7738,3.56,0.235,1.66,1660,0.419,0
LEND_00340,-85.0838,111.8461,3.55,0.235,0.57,570,0.221,0
LEND_00341,-85.2653,161.413,4.08,0.122,1.17,1170,0.273,0
LEND_00342,-88.268,-147.1227,3.95,0.151,0.65,650,0.194,0
LEND_00343,-85.6615,-121.8788,3.75,0.194,0.94,940,0.268,0
LEND_00344,-86.015,165.8687,3.62,0.222,1.66,1660,0.413,0
LEND_00345,-83.8415,13.5145,4.12,0.114,0.74,740,0.192,0
LEND_00346,-83.6491,-174.8892,2.84,0.389,4.01,4010,0.923,1
LEND_00347,-89.547,-87.2525,3.53,0.24,1.24,1240,0.345,0
LEND_00348,-86.2539,-18.0203,3.89,0.164,0.47,470,0.167,0
LEND_00349,-83.7414,69.4472,3.68,0.208,1.03,1030,0.291,0
LEND_00350,-84.9686,83.9377,4.08,0.122,1.95,1950,0.416,0
LEND_00351,-81.4351,178.3517,3.74,0.195,2.18,2180,0.494,0
LEND_00352,-83.4131,-76.496,4.0,0.14,1.0,1000,0.252,0
LEND_00353,-88.3707,13.7592,3.88,0.166,0.4,400,0.156,0
LEND_00354,-89.2943,11.9965,3.88,0.166,0.55,550,0.183,0
