sample_id,latitude_deg,longitude_deg,lroc_wac_albedo,optical_maturation_omat,boulder_density_per_100m2,max_boulder_diameter_m,crater_density_per_km2,landing_hazard_index,nac_high_res_coverage
LROC_00037,-89.0233,169.1348,0.221,0.162,0.32,1.18,15,0.098,1
LROC_00038,-83.1577,81.9472,0.207,0.154,0.87,1.2,67,0.372,1
LROC_00039,-85.5985,152.1374,0.181,0.175,0.47,1.08,90,0.416,1
LROC_00040,-88.7796,94.3963,0.155,0.191,1.05,1.73,58,0.358,1
LROC_00041,-85.0482,33.0181,0.189,0.174,0.38,1.14,49,0.242,0
LROC_00042,-89.6561,-110.8716,0.163,0.207,0.12,0.88,54,0.23,0
LROC_00043,-80.9068,60.0068,0.192,0.169,0.46,1.08,59,0.291,1
LROC_00044,-87.4122,44.4166,0.191,0.16,2.26,2.76,74,0.567,0
LROC_00045,-83.3748,36.8889,0.171,0.17,1.21,1.84,77,0.453,1
LROC_00046,-86.8829,-3.6771,0.202,0.179,0.17,0.8,24,0.116,0
LROC_00047,-84.7993,10.3164,0.197,0.15,0.37,1.03,61,0.288,0
LROC_00048,-84.5329,-59.6007,0.2,0.167,1.97,2.6,38,0.388,1
LROC_00049,-88.1515,6.9526,0.185,0.197,0.1,0.65,71,0.296,0
LROC_00050,-80.3042,-108.8799,0.164,0.191,0.22,0.86,32,0.154,1
LROC_00051,-82.2487,109.8628,0.2,0.169,0.23,0.61,71,0.312,0
LROC_00052,-80.605,-113.1203,0.181,0.178,0.63,1.31,86,0.42,0
LROC_00053,-81.0517,-149.4121,0.164,0.171,0.4,0.86,60,0.288,0
LROC_00054,-84.021,-22.9514,0.205,0.155,0.06,0.69,57,0.235,1
LROC_00055,-80.7813,56.9907,0.216,0.16,0.74,1.17,91,0.453,1
LROC_00056,-89.1151,-22.4219,0.184,0.181,0.08,0.48,30,0.13,1
LROC_00057,-88.0402,-80.3685,0.217,0.177,0.7,1.27,28,0.196,1
LROC_00058,-89.5477,20.9416,0.186,0.178,0.53,1.09,23,0.156,1
LROC_00059,-86.7467,-55.0792,0.179,0.2,0.51,1.07,87,0.409,1
LROC_00060,-86.1132,155.8324,0.176,0.205,0.05,0.55,83,0.338,1
LROC_00061,-87.2865,152.1523,0.21,0.177,0.76,1.56,75,0.391,0
LROC_00062,-81.7126,0.8539,0.173,0.201,0.42,0.78,25,0.15,0
LROC_00063,-86.4325,-61.9618,0.196,0.157,0.4,1.21,33,0.18,0
LROC_00064,-87.1907,85.3677,0.177,0.163,0.68,1.38,78,0.394,1
LROC_00065,-84.573,-166.7833,0.178,0.188,0.7,1.12,52,0.292,1
LROC_00066,-88.5908,-9.0832,0.2,0.15,0.05,0.68,24,0.102,1
LROC_00067,-81.978,-58.9236,0.179,0.175,0.1,0.98,30,0.132,1
LROC_00068,-89.2545,151.3929,0.179,0.191,0.2,0.9,83,0.356,1
LROC_00069,-80.1311,-175.6789,0.202,0.19,0.85,1.23,56,0.326,1
LROC_00070,-82.2776,19.0134,0.209,0.162,0.64,1.2,58,0.309,1
LROC_00071,-88.0128,86.6389,0.195,0.163,1.06,1.59,67,0.395,1
LROC_00072,-89.9448,-5.3935,0.175,0.186,1.01,1.71,49,0.317,1
LROC_00073,-81.8454,-149.2549,0.177,0.164,1.44,2.15,50,0.373,1
LROC_00074,-82.9314,170.0861,0.186,0.174,0.35,0.76,36,0.186,1
LROC_00075,-82.7099,6.4838,0.19,0.174,0.32,0.85,38,0.19,1
LROC_00076,-82.2873,41.107,0.17,0.183,1.33,1.75,90,0.52,1
LROC_00077,-89.2596,-94.8205,0.196,0.173,0.2,1.08,26,0.128,0
LROC_00078,-86.4153,-5.9407,0.186,0.164,0.46,1.09,49,0.251,1
LROC_00079,-88.8413,-25.5062,0.159,0.178,0.16,0.98,64,0.275,1
LROC_00080,-81.369,-153.0375,0.171,0.172,1.84,2.27,92,0.589,1
LROC_00081,-83.767,-141.7823,0.177,0.156,0.39,1.11,54,0.263,1
LROC_00082,-86.691,121.4901,0.184,0.182,0.18,0.71,36,0.166,1
LROC_00083,-89.3644,-93.6648,0.213,0.178,0.88,1.65,61,0.35,0
LROC_00084,-86.8902,-109.815,0.189,0.187,0.21,0.82,89,0.381,1
LROC_00085,-86.7482,1.7681,0.172,0.179,2.16,2.75,80,0.579,1
LROC_00086,-82.7039,96.749,0.188,0.163,0.34,0.83,24,0.137,1
LROC_00087,-83.6244,-157.6993,0.18,0.19,0.82,1.48,57,0.326,0
LROC_00088,-81.1279,27.6509,0.19,0.184,0.32,0.89,83,0.37,1
LROC_00089,-85.2779,-137.0842,0.194,0.176,1.23,1.52,39,0.304,1
LROC_00090,-88.8041,-166.874,0.203,0.195,1.7,2.14,61,0.448,1
LROC_00091,-82.8676,-161.0122,0.185,0.176,1.16,1.72,21,0.223,0
LROC_00092,-82.3921,120.2991,0.21,0.162,1.42,1.75,42,0.338,1
LROC_00093,-84.3872,-137.5299,0.199,0.164,0.08,0.56,94,0.386,1
LROC_00094,-82.2903,-163.7455,0.174,0.158,1.93,2.37,59,0.468,1
LROC_00095,-85.062,-22.356,0.218,0.172,0.73,1.23,81,0.412,1
LROC_00096,-84.7727,123.8376,0.19,0.173,1.53,2.0,26,0.288,1
LROC_00097,-85.7246,-85.533,0.172,0.19,0.87,1.41,25,0.204,1
LROC_00098,-89.7458,-28.1835,0.21,0.193,0.17,0.62,17,0.088,0
LROC_00099,-88.9211,-165.6279,0.216,0.157,0.71,1.13,75,0.385,1
LROC_00100,-89.6857,-18.3317,0.185,0.142,0.07,0.89,80,0.328,1
LROC_00101,-83.6359,27.9407,0.177,0.188,0.89,1.28,70,0.387,1
LROC_00102,-86.8564,25.5265,0.182,0.181,0.39,1.08,40,0.207,0
LROC_00103,-84.9143,-60.3264,0.196,0.161,0.12,0.72,48,0.206,1
LROC_00104,-80.9243,-66.4081,0.204,0.174,2.91,3.5,69,0.625,1
LROC_00105,-87.5071,-141.6155,0.194,0.184,1.74,2.0,93,0.581,1
LROC_00106,-85.8962,-47.9526,0.187,0.162,1.68,2.33,90,0.562,1
LROC_00107,-82.4445,-144.1819,0.207,0.162,1.17,1.7,30,0.26,0
LROC_00108,-87.712,95.9745,0.18,0.201,0.88,1.19,94,0.482,1
LROC_00109,-89.2302,167.8587,0.2,0.159,0.8,1.25,53,0.308,1
LROC_00110,-87.1025,169.2268,0.181,0.18,0.08,0.68,20,0.09,0
LROC_00111,-88.3878,131.4256,0.191,0.135,1.73,2.11,86,0.552,1
LROC_00112,-80.703,36.2852,0.183,0.155,1.6,2.02,66,0.456,0
LROC_00113,-81.9188,72.3117,0.184,0.18,1.03,1.79,39,0.28,1
LROC_00114,-83.666,-77.3259,0.179,0.198,1.97,2.35,70,0.516,0
LROC_00115,-81.2854,47.0774,0.205,0.147,0.6,1.15,33,0.204,1
LROC_00116,-81.9633,-15.9662,0.174,0.183,0.45,1.19,90,0.414,0
LROC_00117,-88.1343,-6.4738,0.174,0.176,2.58,3.12,87,0.658,1
LROC_00118,-81.0744,92.7996,0.217,0.177,0.47,0.87,41,0.22,1
LROC_00119,-84.6066,-78.5094,0.2,0.152,0.77,1.45,19,0.168,0
LROC_00120,-81.9256,-65.5057,0.149,0.199,0.35,0.96,40,0.202,1
LROC_00121,-81.0391,152.871,0.177,0.171,0.76,1.15,44,0.267,1
LROC_00122,-86.82,-159.7593,0.158,0.192,0.95,1.39,92,0.482,0
LROC_00123,-88.8995,-5.1717,0.171,0.184,0.73,1.08,49,0.284,0
LROC_00124,-87.7206,148.6083,0.138,0.194,0.54,1.07,89,0.421,1
LROC_00125,-85.7289,39.7307,0.183,0.185,0.27,0.77,67,0.3,1
LROC_00126,-81.8199,16.7065,0.168,0.185,0.77,1.28,82,0.42,1
LROC_00127,-81.3927,-90.0921,0.186,0.174,1.79,2.3,47,0.403,1
LROC_00128,-89.9305,-56.4208,0.161,0.182,0.05,0.81,84,0.342,0
LROC_00129,-84.8925,126.7374,0.186,0.177,0.11,0.8,42,0.181,0
LROC_00130,-85.8259,21.3185,0.179,0.183,0.1,0.83,88,0.364,1
LROC_00131,-87.7789,5.3072,0.208,0.152,1.92,2.56,50,0.43,1
LROC_00132,-88.8013,-144.1513,0.206,0.162,0.82,1.57,63,0.35,1
LROC_00133,-86.6238,-174.2299,0.197,0.156,2.27,2.87,67,0.54,0
LROC_00134,-80.5709,166.9267,0.18,0.178,0.66,1.07,83,0.411,0
LROC_00135,-86.768,-44.285,0.215,0.154,0.46,0.94,16,0.119,1
LROC_00136,-84.8121,37.1567,0.162,0.199,1.18,1.71,94,0.518,1
LROC_00137,-82.9698,-151.3026,0.164,0.196,0.13,0.7,85,0.356,0
LROC_00138,-86.3637,65.9211,0.184,0.163,0.36,0.79,78,0.355,1
LROC_00139,-80.2822,155.724,0.219,0.161,0.47,0.97,35,0.196,1
LROC_00140,-80.3755,27.2395,0.182,0.188,0.27,1.13,49,0.228,0
LROC_00141,-87.4822,-134.5985,0.182,0.175,0.35,0.89,60,0.282,1
LROC_00142,-85.0275,29.4197,0.163,0.176,0.06,0.66,62,0.255,1
LROC_00143,-86.9912,95.885,0.199,0.154,0.17,0.56,36,0.164,1
LROC_00144,-87.1516,-33.69,0.199,0.183,0.31,1.04,20,0.117,1
LROC_00145,-89.6311,136.7416,0.197,0.185,1.19,1.68,47,0.331,1
LROC_00146,-83.9044,53.5259,0.176,0.178,0.15,0.59,53,0.23,1
LROC_00147,-84.9732,143.7296,0.174,0.193,0.32,1.17,57,0.266,1
LROC_00148,-89.4852,44.4619,0.166,0.141,0.05,0.83,39,0.162,0
LROC_00149,-87.2135,-132.7363,0.186,0.196,0.61,1.31,32,0.201,1
LROC_00150,-80.9173,-68.511,0.169,0.182,0.71,1.52,55,0.305,1
LROC_00151,-87.6044,-107.3538,0.167,0.187,1.5,1.95,49,0.376,1
LROC_00152,-88.5511,147.1775,0.179,0.175,1.28,1.91,38,0.306,1
LROC_00153,-85.1055,93.744,0.178,0.201,0.25,0.73,69,0.306,1
LROC_00154,-80.1435,63.5034,0.177,0.164,0.11,0.85,54,0.229,1
LROC_00155,-87.5794,-71.6521,0.192,0.196,0.13,0.52,43,0.188,1
LROC_00156,-83.2786,-113.7439,0.186,0.182,2.6,2.8,24,0.408,0
LROC_00157,-82.3838,92.3224,0.181,0.188,0.84,1.37,93,0.473,1
LROC_00158,-87.6236,-9.3031,0.188,0.17,0.05,0.45,24,0.102,1
LROC_00159,-82.7178,-98.7158,0.17,0.164,0.11,0.73,78,0.325,1
LROC_00160,-86.3222,41.9839,0.187,0.19,0.5,1.11,43,0.232,1
LROC_00161,-83.6769,-165.4798,0.187,0.181,0.17,0.86,32,0.148,0
LROC_00162,-83.6647,-62.5787,0.162,0.208,1.22,1.55,16,0.21,1
LROC_00163,-84.6423,-11.3195,0.2,0.167,0.64,1.07,39,0.233,0
LROC_00164,-89.0971,-126.735,0.172,0.176,0.71,1.35,65,0.345,1
LROC_00165,-81.647,174.4756,0.186,0.197,0.47,1.15,36,0.2,0
LROC_00166,-86.7922,-104.7249,0.202,0.198,0.22,0.61,23,0.118,0
LROC_00167,-88.1348,-133.0729,0.199,0.171,0.67,1.27,88,0.432,1
LROC_00168,-89.5922,-106.7274,0.186,0.165,0.95,1.65,18,0.186,0
LROC_00169,-84.0911,96.862,0.18,0.191,0.35,0.75,35,0.182,1
LROC_00170,-83.2244,-26.818,0.199,0.167,0.53,1.08,44,0.24,1
LROC_00171,-89.8341,23.5497,0.195,0.181,1.37,1.8,47,0.352,0
LROC_00172,-84.8791,-172.4367,0.176,0.177,0.12,0.96,57,0.242,1
LROC_00173,-87.735,-167.6047,0.173,0.206,0.59,1.02,16,0.135,0
LROC_00174,-83.5483,-19.5028,0.154,0.18,0.32,0.85,45,0.218,1
LROC_00175,-88.2563,113.9959,0.187,0.183,0.91,1.67,18,0.181,1
LROC_00176,-83.0906,138.686,0.184,0.17,0.05,0.61,61,0.25,1
LROC_00177,-86.1326,-148.7856,0.202,0.165,0.83,1.41,59,0.336,1
LROC_00178,-80.6327,13.8107,0.19,0.168,0.08,0.49,79,0.326,1
LROC_00179,-88.6248,148.7627,0.205,0.179,0.05,0.94,80,0.326,1
LROC_00180,-86.5893,-40.3298,0.175,0.195,0.97,1.69,20,0.196,1
LROC_00181,-88.8653,118.6437,0.202,0.177,0.77,1.41,21,0.176,0
LROC_00182,-80.7531,-131.8696,0.177,0.179,1.69,1.95,65,0.463,0
LROC_00183,-81.2266,156.742,0.197,0.173,0.55,0.93,82,0.394,1
LROC_00184,-87.4206,90.5124,0.163,0.2,0.57,1.19,32,0.196,1
LROC_00185,-83.4002,158.8804,0.189,0.189,0.92,1.37,55,0.33,0
LROC_00186,-81.8278,63.5822,0.155,0.15,0.29,0.97,83,0.367,1
LROC_00187,-84.448,-49.1746,0.181,0.174,0.05,0.74,39,0.162,1
LROC_00188,-84.7035,157.7452,0.192,0.17,0.2,1.0,70,0.304,1
LROC_00189,-87.5815,-80.796,0.177,0.19,0.2,0.72,15,0.084,1
LROC_00190,-89.069,-60.4179,0.169,0.183,0.31,0.97,69,0.313,1
LROC_00191,-81.0278,72.291,0.198,0.182,2.15,2.72,17,0.326,1
LROC_00192,-80.9958,95.5139,0.183,0.161,1.23,1.75,68,0.42,1
LROC_00193,-83.669,154.5853,0.178,0.184,2.06,2.67,46,0.431,1
LROC_00194,-86.6097,-106.2711,0.186,0.19,4.93,4.9,16,0.656,0
LROC_00195,-86.5079,107.2793,0.225,0.137,0.43,1.15,79,0.368,1
LROC_00196,-82.7404,85.8766,0.202,0.207,0.19,1.04,22,0.111,0
LROC_00197,-81.0289,-157.034,0.202,0.187,0.62,1.12,72,0.362,1
LROC_00198,-81.1291,-40.5997,0.192,0.174,1.6,2.02,67,0.46,1
LROC_00199,-82.2012,-78.2044,0.187,0.163,0.47,0.86,58,0.288,1
LROC_00200,-83.5797,-70.3834,0.149,0.19,0.53,1.2,87,0.412,0
LROC_00201,-89.1586,173.8609,0.175,0.183,0.11,0.78,42,0.181,1
LROC_00202,-88.3837,51.3999,0.178,0.187,0.41,0.79,33,0.181,1
LROC_00203,-81.0145,78.3634,0.157,0.212,0.37,1.11,70,0.324,1
LROC_00204,-83.9357,171.5823,0.168,0.177,0.33,1.11,34,0.176,0
LROC_00205,-89.908,-44.2074,0.155,0.199,1.64,2.33,85,0.537,1
LROC_00206,-88.9853,108.6625,0.184,0.158,0.05,0.72,70,0.286,1
LROC_00207,-83.365,-23.5689,0.197,0.165,2.69,3.05,49,0.519,1
LROC_00208,-89.9494,133.0321,0.202,0.175,0.05,0.88,33,0.138,1
LROC_00209,-88.3919,-114.9633,0.191,0.184,2.18,2.56,77,0.57,1
LROC_00210,-84.5127,161.167,0.171,0.172,0.6,1.27,21,0.156,1
LROC_00211,-83.081,-101.2422,0.156,0.183,0.91,1.53,41,0.273,1
LROC_00212,-83.4804,-62.5606,0.159,0.21,0.16,0.73,53,0.231,1
LROC_00213,-87.7573,92.2292,0.166,0.203,0.8,1.16,44,0.272,1
LROC_00214,-82.8782,-38.2481,0.172,0.186,1.6,1.85,37,0.34,1
LROC_00215,-87.6275,38.9561,0.183,0.144,0.11,0.71,37,0.161,0
LROC_00216,-86.746,-19.9535,0.17,0.221,0.1,0.73,61,0.256,1
LROC_00217,-82.5351,87.2532,0.19,0.174,0.27,1.05,92,0.4,1
LROC_00218,-83.5037,-97.8007,0.182,0.173,0.13,0.72,62,0.264,1
LROC_00219,-81.5078,-158.9551,0.185,0.169,0.09,0.62,77,0.319,1
LROC_00220,-83.4239,-72.0254,0.202,0.175,0.85,1.4,23,0.194,0
LROC_00221,-84.3169,-9.2489,0.167,0.191,0.18,0.68,37,0.17,1
LROC_00222,-89.0633,-119.5128,0.191,0.188,0.82,1.18,77,0.406,1
LROC_00223,-86.3228,-52.273,0.185,0.163,1.48,1.79,88,0.53,1
LROC_00224,-87.348,-36.0061,0.18,0.174,0.79,1.27,61,0.339,1
LROC_00225,-87.5601,-159.3389,0.198,0.201,0.1,0.5,88,0.364,1
LROC_00226,-80.2699,29.9906,0.198,0.174,0.64,1.09,80,0.397,1
LROC_00227,-86.069,138.3636,0.171,0.18,0.38,1.14,51,0.25,1
LROC_00228,-81.0795,-125.3726,0.182,0.164,0.32,0.81,52,0.246,1
LROC_00229,-83.6886,35.2109,0.189,0.183,0.29,0.72,15,0.095,1
LROC_00230,-82.0519,59.3061,0.181,0.194,1.99,2.67,62,0.487,1
LROC_00231,-84.9736,-29.0395,0.194,0.186,1.02,1.63,49,0.318,1
LROC_00232,-84.231,72.3951,0.189,0.171,0.11,0.53,85,0.353,1
LROC_00233,-85.0748,-32.1366,0.212,0.17,0.48,0.86,67,0.326,1
LROC_00234,-88.0476,1.6694,0.162,0.212,0.29,0.97,39,0.191,0
LROC_00235,-82.7755,-177.3529,0.183,0.194,2.86,3.24,56,0.567,1
LROC_00236,-87.1923,69.0192,0.171,0.171,2.86,3.01,37,0.491,1
LROC_00237,-89.7568,58.0834,0.194,0.135,0.29,0.77,23,0.127,1
LROC_00238,-83.5453,-166.1757,0.161,0.192,0.33,1.16,41,0.204,1
LROC_00239,-88.2289,-47.43,0.19,0.186,0.69,1.31,89,0.439,1
LROC_00240,-80.5954,172.4515,0.176,0.164,0.49,1.06,65,0.319,0
LROC_00241,-80.4607,-28.5348,0.174,0.182,0.18,0.69,71,0.306,1
LROC_00242,-80.8514,0.7003,0.163,0.183,0.81,1.2,50,0.297,1
LROC_00243,-86.2984,147.5749,0.178,0.181,0.3,0.87,48,0.228,1
LROC_00244,-89.8454,78.2143,0.201,0.161,0.8,1.58,27,0.204,1
LROC_00245,-80.7168,29.5452,0.185,0.196,0.36,0.75,69,0.319,1
LROC_00246,-85.7182,107.2097,0.194,0.175,0.9,1.71,60,0.348,1
LROC_00247,-80.3335,131.1719,0.21,0.152,0.83,1.25,66,0.364,0
LROC_00248,-80.3638,-15.5203,0.189,0.189,0.53,1.08,42,0.232,1
LROC_00249,-81.4699,-8.961,0.177,0.161,0.91,1.24,44,0.285,1
LROC_00250,-87.0555,-41.0217,0.192,0.193,0.46,1.11,59,0.291,1
LROC_00251,-86.149,168.0142,0.177,0.195,0.09,0.72,52,0.219,1
LROC_00252,-81.4886,70.9799,0.177,0.201,0.15,0.87,34,0.154,1
LROC_00253,-86.8308,-150.0397,0.162,0.185,0.21,0.86,84,0.361,0
LROC_00254,-88.3051,130.6655,0.199,0.163,0.05,0.64,61,0.25,1
LROC_00255,-84.432,-6.9984,0.179,0.181,0.93,1.61,73,0.404,1
LROC_00256,-80.6385,-155.2486,0.188,0.174,0.34,0.72,93,0.413,1
LROC_00257,-83.0397,17.8982,0.169,0.174,0.07,0.73,93,0.38,0
LROC_00258,-84.2994,-29.8209,0.192,0.165,1.29,1.62,28,0.267,1
LROC_00259,-89.0282,135.9898,0.174,0.176,0.86,1.39,56,0.327,0
LROC_00260,-83.8499,-106.5619,0.183,0.16,0.45,1.2,75,0.354,0
LROC_00261,-80.0995,117.5273,0.198,0.181,0.21,0.66,73,0.317,1
LROC_00262,-88.5992,20.7679,0.197,0.171,0.12,0.98,22,0.102,1
LROC_00263,-84.8167,-160.3403,0.185,0.172,0.46,1.26,71,0.339,1
LROC_00264,-81.2263,169.8643,0.158,0.172,1.62,2.07,36,0.338,1
LROC_00265,-82.5923,4.5415,0.23,0.139,0.16,0.55,35,0.159,0
LROC_00266,-83.0298,-75.2843,0.211,0.194,0.63,1.36,42,0.244,0
LROC_00267,-82.9752,-11.0135,0.196,0.162,2.45,3.05,63,0.546,1
LROC_00268,-86.4051,128.8288,0.174,0.191,0.76,1.17,37,0.239,1
LROC_00269,-87.0641,-70.2349,0.183,0.18,0.43,1.25,68,0.324,1
LROC_00270,-81.9064,-110.6365,0.177,0.139,0.95,1.71,37,0.262,1
LROC_00271,-81.8989,-133.5344,0.204,0.195,1.31,1.81,82,0.485,1
LROC_00272,-81.3293,-72.7706,0.189,0.185,0.67,1.4,60,0.32,0
LROC_00273,-80.8676,100.8173,0.173,0.171,1.54,2.01,82,0.513,0
LROC_00274,-84.8866,-10.2145,0.178,0.179,0.54,1.17,42,0.233,0
LROC_00275,-84.9848,-98.1066,0.202,0.152,1.33,1.76,64,0.416,1
LROC_00276,-82.017,-120.1734,0.209,0.193,2.28,2.53,77,0.582,1
LROC_00277,-83.5004,-60.2174,0.208,0.153,0.52,1.24,24,0.158,1
LROC_00278,-82.9803,158.3728,0.196,0.164,0.7,1.03,51,0.288,1
LROC_00279,-82.0421,-56.5104,0.181,0.168,0.71,1.33,27,0.193,1
LROC_00280,-81.0999,175.7247,0.136,0.2,1.14,1.86,84,0.473,1
LROC_00281,-86.62,-5.317,0.189,0.196,1.3,1.68,44,0.332,1
LROC_00282,-86.2442,-115.501,0.185,0.204,0.05,0.61,94,0.382,1
LROC_00283,-89.0602,140.8104,0.187,0.17,0.99,1.58,86,0.463,1
LROC_00284,-84.2172,-14.2721,0.186,0.182,1.15,1.56,94,0.514,1
LROC_00285,-89.6406,75.4817,0.165,0.187,0.9,1.63,25,0.208,1
LROC_00286,-85.344,174.1362,0.193,0.158,0.94,1.43,15,0.173,1
LROC_00287,-84.5736,-161.9369,0.194,0.209,0.05,0.74,32,0.134,1
LROC_00288,-87.1346,-145.19,0.195,0.193,0.44,0.91,25,0.153,1
LROC_00289,-84.0917,79.3644,0.199,0.173,1.28,1.57,24,0.25,1
LROC_00290,-89.695,-78.543,0.194,0.196,2.04,2.32,62,0.493,1
LROC_00291,-89.6265,-113.6515,0.179,0.198,0.2,0.6,75,0.324,1
LROC_00292,-81.774,-165.8297,0.184,0.178,0.65,1.22,24,0.174,0
LROC_00293,-86.3981,-172.1352,0.186,0.181,1.22,1.79,74,0.442,0
LROC_00294,-88.7294,98.8148,0.187,0.199,1.05,1.37,36,0.27,1
LROC_00295,-84.7776,-131.604,0.2,0.156,0.72,1.09,89,0.442,0
LROC_00296,-82.3001,-11.6206,0.195,0.197,0.05,0.69,23,0.098,1
LROC_00297,-87.8418,38.1229,0.216,0.159,0.97,1.67,29,0.232,1
LROC_00298,-83.7711,-25.7934,0.218,0.185,1.11,1.71,51,0.337,1
LROC_00299,-89.1465,-170.2416,0.186,0.176,0.96,1.32,84,0.451,0
LROC_00300,-89.4832,102.0605,0.127,0.208,1.09,1.82,58,0.363,1
LROC_00301,-84.6865,-176.2152,0.204,0.168,0.42,1.24,83,0.382,1
LROC_00302,-84.5936,94.2804,0.177,0.172,3.81,3.99,17,0.525,1
LROC_00303,-83.6257,141.5896,0.173,0.178,1.1,1.7,24,0.228,1
LROC_00304,-82.7391,-24.1776,0.179,0.2,0.65,1.23,91,0.442,0
LROC_00305,-80.2415,12.7953,0.178,0.145,2.04,2.71,18,0.317,1
LROC_00306,-84.837,-8.286,0.194,0.154,1.79,2.27,70,0.495,1
LROC_00307,-86.7704,-39.8849,0.162,0.176,1.26,2.01,54,0.367,1
LROC_00308,-82.0481,139.4728,0.169,0.168,0.62,1.06,47,0.262,1
LROC_00309,-87.2917,141.8161,0.19,0.197,0.56,1.08,47,0.255,1
LROC_00310,-85.6103,-59.1061,0.194,0.192,0.3,1.06,74,0.332,0
LROC_00311,-89.2154,41.4251,0.195,0.181,0.22,0.99,35,0.166,1
LROC_00312,-89.7465,153.6867,0.173,0.173,0.54,1.25,83,0.397,1
LROC_00313,-80.3735,166.3411,0.17,0.204,0.65,1.41,59,0.314,1
LROC_00314,-81.6402,3.2253,0.177,0.157,0.21,0.94,71,0.309,0
LROC_00315,-83.0403,-16.9831,0.189,0.207,1.92,2.45,91,0.594,0
LROC_00316,-85.9105,-79.67,0.207,0.157,0.61,1.18,54,0.289,1
LROC_00317,-88.2671,165.1939,0.154,0.187,0.56,1.14,78,0.379,1
LROC_00318,-88.4356,-128.5869,0.182,0.172,0.43,0.99,24,0.148,1
LROC_00319,-87.4976,28.7386,0.165,0.17,0.05,0.76,88,0.358,1
LROC_00320,-84.5077,-78.2819,0.16,0.217,1.61,2.05,80,0.513,1
LROC_00321,-82.854,-79.557,0.2,0.182,0.29,0.73,79,0.351,1
LROC_00322,-83.398,-34.2113,0.193,0.191,0.77,1.15,44,0.268,1
LROC_00323,-87.2007,179.5655,0.192,0.155,0.7,1.49,49,0.28,1
LROC_00324,-80.4513,-160.2121,0.199,0.173,0.66,1.01,67,0.347,1
LROC_00325,-82.621,28.2751,0.178,0.188,0.56,0.96,53,0.279,1
