sample_id,latitude_deg,longitude_deg,diviner_max_temp_k,diviner_min_temp_k,diviner_temp_range_k,psr_cold_trap_flag,ice_stability_depth_cm
DIVINER_00035,-81.916,-43.2945,215.2,151.8,63.4,0,999.0
DIVINER_00036,-86.9539,42.1899,194.8,176.4,18.4,0,999.0
DIVINER_00037,-89.0233,169.1348,230.8,181.9,48.9,0,999.0
DIVINER_00038,-83.1577,81.9472,202.0,188.2,13.8,0,999.0
DIVINER_00039,-85.5985,152.1374,214.9,144.2,70.7,0,999.0
DIVINER_00040,-88.7796,94.3963,193.6,161.6,31.9,0,999.0
DIVINER_00041,-85.0482,33.0181,182.5,177.6,4.9,0,999.0
DIVINER_00042,-89.6561,-110.8716,190.4,157.2,33.2,0,999.0
DIVINER_00043,-80.9068,60.0068,182.8,152.3,30.4,0,999.0
DIVINER_00044,-87.4122,44.4166,208.1,160.0,48.1,0,999.0
DIVINER_00045,-83.3748,36.8889,215.2,145.0,70.2,0,999.0
DIVINER_00046,-86.8829,-3.6771,182.7,133.4,49.2,0,999.0
DIVINER_00047,-84.7993,10.3164,185.4,124.7,60.8,0,999.0
DIVINER_00048,-84.5329,-59.6007,209.1,162.7,46.4,0,999.0
DIVINER_00049,-88.1515,6.9526,228.0,146.5,81.4,0,999.0
DIVINER_00050,-80.3042,-108.8799,217.7,181.8,35.9,0,999.0
DIVINER_00051,-82.2487,109.8628,87.0,57.0,30.0,1,0.0
DIVINER_00052,-80.605,-113.1203,233.3,141.7,91.5,0,999.0
DIVINER_00053,-81.0517,-149.4121,235.0,187.9,47.1,0,999.0
DIVINER_00054,-84.021,-22.9514,199.5,158.9,40.6,0,999.0
DIVINER_00055,-80.7813,56.9907,217.0,144.3,72.7,0,999.0
DIVINER_00056,-89.1151,-22.4219,209.5,180.3,29.3,0,999.0
DIVINER_00057,-88.0402,-80.3685,236.5,172.0,64.5,0,999.0
DIVINER_00058,-89.5477,20.9416,210.5,160.1,50.4,0,999.0
DIVINER_00059,-86.7467,-55.0792,237.6,182.2,55.4,0,999.0
DIVINER_00060,-86.1132,155.8324,192.0,126.6,65.4,0,999.0
DIVINER_00061,-87.2865,152.1523,74.3,36.3,37.9,1,0.0
DIVINER_00062,-81.7126,0.8539,226.9,176.7,50.1,0,999.0
DIVINER_00063,-86.4325,-61.9618,227.0,147.0,80.0,0,999.0
DIVINER_00064,-87.1907,85.3677,223.9,184.9,39.1,0,999.0
DIVINER_00065,-84.573,-166.7833,231.6,130.7,100.9,0,999.0
DIVINER_00066,-88.5908,-9.0832,222.2,143.6,78.6,0,999.0
DIVINER_00067,-81.978,-58.9236,218.2,149.8,68.4,0,999.0
DIVINER_00068,-89.2545,151.3929,207.5,168.1,39.4,0,999.0
DIVINER_00069,-80.1311,-175.6789,208.0,133.7,74.4,0,999.0
DIVINER_00070,-82.2776,19.0134,204.4,120.7,83.7,0,999.0
DIVINER_00071,-88.0128,86.6389,217.2,188.4,28.9,0,999.0
DIVINER_00072,-89.9448,-5.3935,204.4,182.9,21.5,0,999.0
DIVINER_00073,-81.8454,-149.2549,188.8,141.0,47.8,0,999.0
DIVINER_00074,-82.9314,170.0861,186.4,153.8,32.5,0,999.0
DIVINER_00075,-82.7099,6.4838,235.5,154.2,81.2,0,999.0
DIVINER_00076,-82.2873,41.107,181.5,180.8,0.6,0,999.0
DIVINER_00077,-89.2596,-94.8205,186.3,161.8,24.5,0,999.0
DIVINER_00078,-86.4153,-5.9407,206.7,177.9,28.9,0,999.0
DIVINER_00079,-88.8413,-25.5062,195.8,183.8,11.9,0,999.0
DIVINER_00080,-81.369,-153.0375,204.4,159.6,44.7,0,999.0
DIVINER_00081,-83.767,-141.7823,187.0,140.0,47.1,0,999.0
DIVINER_00082,-86.691,121.4901,187.9,154.9,32.9,0,999.0
DIVINER_00083,-89.3644,-93.6648,228.0,179.6,48.5,0,999.0
DIVINER_00084,-86.8902,-109.815,225.5,160.9,64.7,0,999.0
DIVINER_00085,-86.7482,1.7681,186.3,182.7,3.6,0,999.0
DIVINER_00086,-82.7039,96.749,220.1,182.7,37.4,0,999.0
DIVINER_00087,-83.6244,-157.6993,216.6,146.1,70.4,0,999.0
DIVINER_00088,-81.1279,27.6509,222.8,151.4,71.4,0,999.0
DIVINER_00089,-85.2779,-137.0842,208.5,167.5,41.0,0,999.0
DIVINER_00090,-88.8041,-166.874,196.2,127.8,68.4,0,999.0
DIVINER_00091,-82.8676,-161.0122,59.9,50.4,9.5,1,0.0
DIVINER_00092,-82.3921,120.2991,202.3,130.5,71.8,0,999.0
DIVINER_00093,-84.3872,-137.5299,193.1,179.4,13.8,0,999.0
DIVINER_00094,-82.2903,-163.7455,204.5,186.0,18.5,0,999.0
DIVINER_00095,-85.062,-22.356,225.8,129.9,95.9,0,999.0
DIVINER_00096,-84.7727,123.8376,208.5,166.7,41.8,0,999.0
DIVINER_00097,-85.7246,-85.533,198.0,164.6,33.4,0,999.0
DIVINER_00098,-89.7458,-28.1835,229.9,173.2,56.7,0,999.0
DIVINER_00099,-88.9211,-165.6279,232.9,168.7,64.2,0,999.0
DIVINER_00100,-89.6857,-18.3317,206.0,135.2,70.8,0,999.0
DIVINER_00101,-83.6359,27.9407,99.5,34.3,65.2,1,0.0
DIVINER_00102,-86.8564,25.5265,216.8,131.6,85.2,0,999.0
DIVINER_00103,-84.9143,-60.3264,183.5,184.5,-1.0,0,999.0
DIVINER_00104,-80.9243,-66.4081,221.5,156.5,65.0,0,999.0
DIVINER_00105,-87.5071,-141.6155,226.9,188.3,38.6,0,999.0
DIVINER_00106,-85.8962,-47.9526,80.0,45.0,35.0,1,0.0
DIVINER_00107,-82.4445,-144.1819,190.5,158.7,31.8,0,999.0
DIVINER_00108,-87.712,95.9745,181.7,175.3,6.5,0,999.0
DIVINER_00109,-89.2302,167.8587,218.2,175.8,42.4,0,999.0
DIVINER_00110,-87.1025,169.2268,196.1,136.2,60.0,0,999.0
DIVINER_00111,-88.3878,131.4256,207.8,140.2,67.7,0,999.0
DIVINER_00112,-80.703,36.2852,203.2,126.8,76.3,0,999.0
DIVINER_00113,-81.9188,72.3117,190.5,176.4,14.1,0,999.0
DIVINER_00114,-83.666,-77.3259,210.5,175.6,34.9,0,999.0
DIVINER_00115,-81.2854,47.0774,207.6,125.7,81.9,0,999.0
DIVINER_00116,-81.9633,-15.9662,217.4,138.0,79.4,0,999.0
DIVINER_00117,-88.1343,-6.4738,195.1,151.5,43.6,0,999.0
DIVINER_00118,-81.0744,92.7996,192.9,157.9,35.0,0,999.0
DIVINER_00119,-84.6066,-78.5094,99.2,60.6,38.6,1,0.0
DIVINER_00120,-81.9256,-65.5057,222.1,188.8,33.3,0,999.0
DIVINER_00121,-81.0391,152.871,226.3,173.5,52.8,0,999.0
DIVINER_00122,-86.82,-159.7593,187.4,127.9,59.5,0,999.0
DIVINER_00123,-88.8995,-5.1717,193.4,140.5,52.9,0,999.0
DIVINER_00124,-87.7206,148.6083,214.5,144.2,70.4,0,999.0
DIVINER_00125,-85.7289,39.7307,87.3,42.9,44.4,1,0.0
DIVINER_00126,-81.8199,16.7065,233.5,175.0,58.5,0,999.0
DIVINER_00127,-81.3927,-90.0921,229.9,145.2,84.7,0,999.0
DIVINER_00128,-89.9305,-56.4208,182.6,154.5,28.1,0,999.0
DIVINER_00129,-84.8925,126.7374,229.3,157.3,71.9,0,999.0
DIVINER_00130,-85.8259,21.3185,233.9,138.9,95.0,0,999.0
DIVINER_00131,-87.7789,5.3072,183.4,142.6,40.8,0,999.0
DIVINER_00132,-88.8013,-144.1513,205.0,174.6,30.4,0,999.0
DIVINER_00133,-86.6238,-174.2299,212.2,180.7,31.5,0,999.0
DIVINER_00134,-80.5709,166.9267,94.8,39.8,55.0,1,0.0
DIVINER_00135,-86.768,-44.285,211.0,162.4,48.6,0,999.0
DIVINER_00136,-84.8121,37.1567,233.2,164.3,68.8,0,999.0
DIVINER_00137,-82.9698,-151.3026,232.0,171.6,60.4,0,999.0
DIVINER_00138,-86.3637,65.9211,236.4,168.6,67.8,0,999.0
DIVINER_00139,-80.2822,155.724,209.0,181.4,27.6,0,999.0
DIVINER_00140,-80.3755,27.2395,204.6,125.5,79.1,0,999.0
DIVINER_00141,-87.4822,-134.5985,219.9,147.2,72.8,0,999.0
DIVINER_00142,-85.0275,29.4197,205.0,174.7,30.3,0,999.0
DIVINER_00143,-86.9912,95.885,182.5,179.3,3.3,0,999.0
DIVINER_00144,-87.1516,-33.69,223.2,138.5,84.7,0,999.0
DIVINER_00145,-89.6311,136.7416,196.9,161.0,35.9,0,999.0
DIVINER_00146,-83.9044,53.5259,182.9,132.7,50.3,0,999.0
DIVINER_00147,-84.9732,143.7296,181.2,179.6,1.7,0,999.0
DIVINER_00148,-89.4852,44.4619,235.9,171.1,64.8,0,999.0
DIVINER_00149,-87.2135,-132.7363,195.1,135.5,59.6,0,999.0
DIVINER_00150,-80.9173,-68.511,206.9,163.7,43.2,0,999.0
DIVINER_00151,-87.6044,-107.3538,237.0,155.7,81.4,0,999.0
DIVINER_00152,-88.5511,147.1775,208.1,138.1,69.9,0,999.0
DIVINER_00153,-85.1055,93.744,184.7,182.5,2.2,0,999.0
DIVINER_00154,-80.1435,63.5034,213.1,130.3,82.8,0,999.0
DIVINER_00155,-87.5794,-71.6521,185.3,152.7,32.6,0,999.0
DIVINER_00156,-83.2786,-113.7439,185.7,160.8,24.9,0,999.0
DIVINER_00157,-82.3838,92.3224,231.1,177.6,53.4,0,999.0
DIVINER_00158,-87.6236,-9.3031,197.4,130.5,66.9,0,999.0
DIVINER_00159,-82.7178,-98.7158,220.7,162.6,58.1,0,999.0
DIVINER_00160,-86.3222,41.9839,210.5,120.5,90.1,0,999.0
DIVINER_00161,-83.6769,-165.4798,193.3,177.6,15.8,0,999.0
DIVINER_00162,-83.6647,-62.5787,211.1,136.4,74.6,0,999.0
DIVINER_00163,-84.6423,-11.3195,184.1,170.5,13.7,0,999.0
DIVINER_00164,-89.0971,-126.735,200.8,162.1,38.7,0,999.0
DIVINER_00165,-81.647,174.4756,211.4,123.5,87.9,0,999.0
DIVINER_00166,-86.7922,-104.7249,193.7,132.8,60.9,0,999.0
DIVINER_00167,-88.1348,-133.0729,219.6,138.7,80.9,0,999.0
DIVINER_00168,-89.5922,-106.7274,183.1,182.1,1.0,0,999.0
DIVINER_00169,-84.0911,96.862,209.1,153.7,55.4,0,999.0
DIVINER_00170,-83.2244,-26.818,222.9,183.9,39.0,0,999.0
DIVINER_00171,-89.8341,23.5497,205.8,123.3,82.5,0,999.0
DIVINER_00172,-84.8791,-172.4367,232.5,120.5,112.0,0,999.0
DIVINER_00173,-87.735,-167.6047,217.9,186.4,31.6,0,999.0
DIVINER_00174,-83.5483,-19.5028,237.5,170.7,66.8,0,999.0
DIVINER_00175,-88.2563,113.9959,197.0,174.8,22.2,0,999.0
DIVINER_00176,-83.0906,138.686,236.3,184.1,52.2,0,999.0
DIVINER_00177,-86.1326,-148.7856,216.4,188.9,27.5,0,999.0
DIVINER_00178,-80.6327,13.8107,224.7,126.8,97.9,0,999.0
DIVINER_00179,-88.6248,148.7627,234.1,131.1,103.0,0,999.0
DIVINER_00180,-86.5893,-40.3298,213.1,133.2,79.9,0,999.0
DIVINER_00181,-88.8653,118.6437,231.7,177.3,54.4,0,999.0
DIVINER_00182,-80.7531,-131.8696,212.5,144.9,67.6,0,999.0
DIVINER_00183,-81.2266,156.742,216.0,161.5,54.4,0,999.0
DIVINER_00184,-87.4206,90.5124,206.7,179.9,26.8,0,999.0
DIVINER_00185,-83.4002,158.8804,188.7,167.8,20.9,0,999.0
DIVINER_00186,-81.8278,63.5822,213.2,124.6,88.6,0,999.0
DIVINER_00187,-84.448,-49.1746,238.6,151.2,87.4,0,999.0
DIVINER_00188,-84.7035,157.7452,227.2,124.7,102.5,0,999.0
DIVINER_00189,-87.5815,-80.796,224.8,153.5,71.3,0,999.0
DIVINER_00190,-89.069,-60.4179,49.9,32.0,17.9,1,0.0
DIVINER_00191,-81.0278,72.291,200.9,120.1,80.8,0,999.0
DIVINER_00192,-80.9958,95.5139,190.2,176.9,13.3,0,999.0
DIVINER_00193,-83.669,154.5853,193.5,187.9,5.6,0,999.0
DIVINER_00194,-86.6097,-106.2711,180.4,187.5,-7.1,0,999.0
DIVINER_00195,-86.5079,107.2793,220.4,140.9,79.5,0,999.0
DIVINER_00196,-82.7404,85.8766,228.7,178.0,50.7,0,999.0
DIVINER_00197,-81.0289,-157.034,196.1,167.5,28.6,0,999.0
DIVINER_00198,-81.1291,-40.5997,185.5,176.0,9.5,0,999.0
DIVINER_00199,-82.2012,-78.2044,200.1,179.2,20.9,0,999.0
DIVINER_00200,-83.5797,-70.3834,197.5,188.6,8.9,0,999.0
DIVINER_00201,-89.1586,173.8609,207.1,130.6,76.4,0,999.0
DIVINER_00202,-88.3837,51.3999,195.8,173.9,22.0,0,999.0
DIVINER_00203,-81.0145,78.3634,200.4,171.4,29.0,0,999.0
DIVINER_00204,-83.9357,171.5823,234.5,140.1,94.3,0,999.0
DIVINER_00205,-89.908,-44.2074,200.1,147.5,52.6,0,999.0
DIVINER_00206,-88.9853,108.6625,227.1,132.4,94.8,0,999.0
DIVINER_00207,-83.365,-23.5689,217.6,183.9,33.6,0,999.0
DIVINER_00208,-89.9494,133.0321,200.3,181.6,18.7,0,999.0
DIVINER_00209,-88.3919,-114.9633,229.1,163.0,66.1,0,999.0
DIVINER_00210,-84.5127,161.167,215.7,155.8,59.9,0,999.0
DIVINER_00211,-83.081,-101.2422,180.5,136.3,44.2,0,999.0
DIVINER_00212,-83.4804,-62.5606,184.1,175.3,8.9,0,999.0
DIVINER_00213,-87.7573,92.2292,225.2,120.6,104.6,0,999.0
DIVINER_00214,-82.8782,-38.2481,206.8,152.4,54.4,0,999.0
DIVINER_00215,-87.6275,38.9561,204.3,180.2,24.1,0,999.0
DIVINER_00216,-86.746,-19.9535,188.7,163.3,25.5,0,999.0
DIVINER_00217,-82.5351,87.2532,189.4,164.5,25.0,0,999.0
DIVINER_00218,-83.5037,-97.8007,227.9,124.9,102.9,0,999.0
DIVINER_00219,-81.5078,-158.9551,229.7,140.1,89.7,0,999.0
DIVINER_00220,-83.4239,-72.0254,213.6,167.2,46.4,0,999.0
DIVINER_00221,-84.3169,-9.2489,197.7,123.5,74.2,0,999.0
DIVINER_00222,-89.0633,-119.5128,236.0,143.2,92.8,0,999.0
DIVINER_00223,-86.3228,-52.273,217.4,144.8,72.7,0,999.0
DIVINER_00224,-87.348,-36.0061,227.8,154.9,72.9,0,999.0
DIVINER_00225,-87.5601,-159.3389,180.2,145.4,34.8,0,999.0
DIVINER_00226,-80.2699,29.9906,207.0,151.8,55.2,0,999.0
DIVINER_00227,-86.069,138.3636,232.3,158.3,74.0,0,999.0
DIVINER_00228,-81.0795,-125.3726,200.3,129.0,71.3,0,999.0
DIVINER_00229,-83.6886,35.2109,223.6,132.6,91.0,0,999.0
DIVINER_00230,-82.0519,59.3061,219.5,178.3,41.2,0,999.0
DIVINER_00231,-84.9736,-29.0395,189.1,152.2,36.9,0,999.0
DIVINER_00232,-84.231,72.3951,226.5,144.9,81.6,0,999.0
DIVINER_00233,-85.0748,-32.1366,186.8,150.4,36.4,0,999.0
DIVINER_00234,-88.0476,1.6694,223.7,132.2,91.4,0,999.0
DIVINER_00235,-82.7755,-177.3529,239.5,136.8,102.7,0,999.0
DIVINER_00236,-87.1923,69.0192,237.5,156.1,81.4,0,999.0
DIVINER_00237,-89.7568,58.0834,228.0,145.1,82.9,0,999.0
DIVINER_00238,-83.5453,-166.1757,212.1,153.3,58.8,0,999.0
DIVINER_00239,-88.2289,-47.43,220.5,130.5,90.0,0,999.0
DIVINER_00240,-80.5954,172.4515,223.7,131.0,92.7,0,999.0
DIVINER_00241,-80.4607,-28.5348,180.5,146.9,33.6,0,999.0
DIVINER_00242,-80.8514,0.7003,186.1,146.5,39.6,0,999.0
DIVINER_00243,-86.2984,147.5749,215.8,181.8,34.0,0,999.0
DIVINER_00244,-89.8454,78.2143,180.4,122.3,58.1,0,999.0
DIVINER_00245,-80.7168,29.5452,234.5,189.5,45.0,0,999.0
DIVINER_00246,-85.7182,107.2097,209.4,187.0,22.4,0,999.0
DIVINER_00247,-80.3335,131.1719,195.5,158.0,37.5,0,999.0
DIVINER_00248,-80.3638,-15.5203,203.6,170.3,33.3,0,999.0
DIVINER_00249,-81.4699,-8.961,231.0,185.5,45.6,0,999.0
DIVINER_00250,-87.0555,-41.0217,235.6,137.6,98.0,0,999.0
DIVINER_00251,-86.149,168.0142,187.0,142.1,44.9,0,999.0
DIVINER_00252,-81.4886,70.9799,226.7,127.8,98.9,0,999.0
DIVINER_00253,-86.8308,-150.0397,214.7,159.5,55.2,0,999.0
DIVINER_00254,-88.3051,130.6655,215.1,131.2,84.0,0,999.0
DIVINER_00255,-84.432,-6.9984,226.8,185.2,41.6,0,999.0
DIVINER_00256,-80.6385,-155.2486,193.4,150.2,43.2,0,999.0
DIVINER_00257,-83.0397,17.8982,211.9,184.4,27.5,0,999.0
DIVINER_00258,-84.2994,-29.8209,199.2,134.4,64.8,0,999.0
DIVINER_00259,-89.0282,135.9898,185.7,168.6,17.1,0,999.0
DIVINER_00260,-83.8499,-106.5619,186.3,165.3,21.0,0,999.0
DIVINER_00261,-80.0995,117.5273,188.2,148.0,40.2,0,999.0
DIVINER_00262,-88.5992,20.7679,216.9,182.9,34.0,0,999.0
DIVINER_00263,-84.8167,-160.3403,186.3,150.4,35.9,0,999.0
DIVINER_00264,-81.2263,169.8643,214.2,133.9,80.3,0,999.0
DIVINER_00265,-82.5923,4.5415,215.3,188.4,26.9,0,999.0
DIVINER_00266,-83.0298,-75.2843,234.2,150.9,83.3,0,999.0
DIVINER_00267,-82.9752,-11.0135,217.6,134.6,83.0,0,999.0
DIVINER_00268,-86.4051,128.8288,239.1,145.5,93.7,0,999.0
DIVINER_00269,-87.0641,-70.2349,181.9,162.9,18.9,0,999.0
DIVINER_00270,-81.9064,-110.6365,222.2,155.8,66.4,0,999.0
DIVINER_00271,-81.8989,-133.5344,181.6,164.5,17.1,0,999.0
DIVINER_00272,-81.3293,-72.7706,223.8,166.3,57.4,0,999.0
DIVINER_00273,-80.8676,100.8173,71.3,62.0,9.3,1,0.0
DIVINER_00274,-84.8866,-10.2145,216.7,142.0,74.6,0,999.0
DIVINER_00275,-84.9848,-98.1066,198.6,172.4,26.2,0,999.0
DIVINER_00276,-82.017,-120.1734,189.5,165.5,24.0,0,999.0
DIVINER_00277,-83.5004,-60.2174,223.4,126.2,97.2,0,999.0
DIVINER_00278,-82.9803,158.3728,234.3,142.1,92.2,0,999.0
DIVINER_00279,-82.0421,-56.5104,191.0,185.2,5.8,0,999.0
DIVINER_00280,-81.0999,175.7247,235.2,180.3,54.9,0,999.0
DIVINER_00281,-86.62,-5.317,188.4,166.9,21.5,0,999.0
DIVINER_00282,-86.2442,-115.501,224.1,125.1,99.0,0,999.0
DIVINER_00283,-89.0602,140.8104,88.9,36.1,52.8,1,0.0
DIVINER_00284,-84.2172,-14.2721,188.8,120.9,68.0,0,999.0
DIVINER_00285,-89.6406,75.4817,206.1,166.3,39.8,0,999.0
DIVINER_00286,-85.344,174.1362,200.2,171.2,29.1,0,999.0
DIVINER_00287,-84.5736,-161.9369,203.3,154.8,48.5,0,999.0
DIVINER_00288,-87.1346,-145.19,225.2,120.3,104.9,0,999.0
DIVINER_00289,-84.0917,79.3644,219.7,166.7,53.0,0,999.0
DIVINER_00290,-89.695,-78.543,82.1,29.7,52.3,1,0.0
DIVINER_00291,-89.6265,-113.6515,191.1,161.0,30.1,0,999.0
DIVINER_00292,-81.774,-165.8297,75.1,55.0,20.1,1,0.0
DIVINER_00293,-86.3981,-172.1352,206.9,126.3,80.6,0,999.0
DIVINER_00294,-88.7294,98.8148,235.1,170.1,65.1,0,999.0
DIVINER_00295,-84.7776,-131.604,180.6,163.0,17.6,0,999.0
DIVINER_00296,-82.3001,-11.6206,239.4,143.2,96.2,0,999.0
DIVINER_00297,-87.8418,38.1229,98.1,26.2,71.9,1,0.0
DIVINER_00298,-83.7711,-25.7934,217.5,165.2,52.3,0,999.0
DIVINER_00299,-89.1465,-170.2416,201.6,162.0,39.6,0,999.0
DIVINER_00300,-89.4832,102.0605,231.2,132.8,98.3,0,999.0
DIVINER_00301,-84.6865,-176.2152,213.7,140.7,73.0,0,999.0
DIVINER_00302,-84.5936,94.2804,219.8,189.4,30.4,0,999.0
DIVINER_00303,-83.6257,141.5896,218.9,150.3,68.6,0,999.0
DIVINER_00304,-82.7391,-24.1776,201.8,124.2,77.7,0,999.0
DIVINER_00305,-80.2415,12.7953,184.6,182.9,1.6,0,999.0
DIVINER_00306,-84.837,-8.286,228.5,132.1,96.4,0,999.0
DIVINER_00307,-86.7704,-39.8849,42.8,36.7,6.1,1,0.0
DIVINER_00308,-82.0481,139.4728,230.9,139.5,91.5,0,999.0
DIVINER_00309,-87.2917,141.8161,216.5,187.5,29.0,0,999.0
DIVINER_00310,-85.6103,-59.1061,201.2,146.5,54.8,0,999.0
DIVINER_00311,-89.2154,41.4251,215.7,169.6,46.0,0,999.0
DIVINER_00312,-89.7465,153.6867,218.7,161.9,56.8,0,999.0
DIVINER_00313,-80.3735,166.3411,222.4,123.0,99.4,0,999.0
DIVINER_00314,-81.6402,3.2253,229.3,146.9,82.4,0,999.0
DIVINER_00315,-83.0403,-16.9831,189.6,147.3,42.3,0,999.0
DIVINER_00316,-85.9105,-79.67,236.6,189.3,47.4,0,999.0
DIVINER_00317,-88.2671,165.1939,204.7,176.8,27.8,0,999.0
DIVINER_00318,-88.4356,-128.5869,231.6,180.0,51.7,0,999.0
DIVINER_00319,-87.4976,28.7386,193.2,141.9,51.3,0,999.0
DIVINER_00320,-84.5077,-78.2819,181.7,143.0,38.7,0,999.0
DIVINER_00321,-82.854,-79.557,214.4,156.1,58.3,0,999.0
DIVINER_00322,-83.398,-34.2113,199.5,164.2,35.3,0,999.0
DIVINER_00323,-87.2007,179.5655,239.1,171.0,68.1,0,999.0
DIVINER_00324,-80.4513,-160.2121,186.3,177.5,8.8,0,999.0
DIVINER_00325,-82.621,28.2751,182.8,181.1,1.7,0,999.0
DIVINER_00326,-84.4565,-150.274,182.7,121.7,61.0,0,999.0
DIVINER_00327,-83.8828,-124.3725,193.0,175.7,17.3,0,999.0
DIVINER_00328,-85.804,-21.7573,214.8,162.8,52.0,0,999.0
DIVINER_00329,-87.5227,3.7656,210.3,157.2,53.1,0,999.0
DIVINER_00330,-86.4403,-86.8347,201.0,164.0,37.0,0,999.0
DIVINER_00331,-82.4215,-66.0754,185.3,181.7,3.6,0,999.0
DIVINER_00332,-89.8561,-148.6919,194.0,158.2,35.9,0,999.0
DIVINER_00333,-88.8393,-70.8409,191.0,131.4,59.7,0,999.0
DIVINER_00334,-89.54,167.961,59.2,42.1,17.1,1,0.0
DIVINER_00335,-89.5927,160.0947,226.8,184.7,42.1,0,999.0
DIVINER_00336,-81.4454,-59.4438,226.6,177.0,49.6,0,999.0
DIVINER_00337,-82.9634,25.5074,238.1,134.2,103.9,0,999.0
DIVINER_00338,-85.2583,147.4543,233.1,170.0,63.1,0,999.0
DIVINER_00339,-89.0217,-177.7738,209.9,137.9,71.9,0,999.0
DIVINER_00340,-85.0838,111.8461,204.9,144.4,60.5,0,999.0
DIVINER_00341,-85.2653,161.413,234.9,152.8,82.1,0,999.0
DIVINER_00342,-88.268,-147.1227,216.7,150.9,65.8,0,999.0
DIVINER_00343,-85.6615,-121.8788,197.7,122.0,75.6,0,999.0
DIVINER_00344,-86.015,165.8687,213.9,174.2,39.7,0,999.0
DIVINER_00345,-83.8415,13.5145,239.5,179.2,60.3,0,999.0
DIVINER_00346,-83.6491,-174.8892,104.3,55.8,48.4,1,0.0
DIVINER_00347,-89.547,-87.2525,196.9,132.1,64.8,0,999.0
DIVINER_00348,-86.2539,-18.0203,237.2,137.4,99.8,0,999.0
DIVINER_00349,-83.7414,69.4472,238.9,128.8,110.0,0,999.0
DIVINER_00350,-84.9686,83.9377,193.9,131.9,62.0,0,999.0
DIVINER_00351,-81.4351,178.3517,233.7,181.3,52.4,0,999.0
DIVINER_00352,-83.4131,-76.496,233.0,153.6,79.4,0,999.0
DIVINER_00353,-88.3707,13.7592,182.4,127.8,54.6,0,999.0
DIVINER_00354,-89.2943,11.9965,220.2,137.8,82.3,0,999.0
DIVINER_00355,-83.5758,-33.9677,198.3,186.5,11.9,0,999.0
DIVINER_00356,-89.7349,-119.1017,220.5,155.6,64.8,0,999.0
DIVINER_00357,-84.1422,171.8844,234.8,156.1,78.7,0,999.0
DIVINER_00358,-80.5977,127.1942,209.9,156.8,53.1,0,999.0
DIVINER_00359,-84.2453,-0.6001,204.9,127.8,77.1,0,999.0
DIVINER_00360,-86.1183,37.1684,235.3,187.9,47.4,0,999.0
