node_id,node_name,latitude_deg,longitude_deg,elevation_m,slope_deg,roughness_m,local_relief_m,annual_illumination_pct,sunlight_hours_yr,continuous_sunlight_hrs,continuous_darkness_hrs,psr_flag,ice_prob,weh_ppm,weh_wt_pct,lend_neutron_cps,max_temp_k,min_temp_k,temp_range_k,shielding_factor,radiation_msv_yr,earth_vis_pct,plagioclase_pct,pyroxene_pct,ilmenite_tio2_pct,feo_pct,regolith_depth_m,nearest_crater_km,crater_diameter_km,suitability_score,zone_class
N12,Shoemaker Crater Rim,-88.1,44.89999999999998,3600,7.8,12.5,4800,64.0,5900,1740,184,1,0.43,304,0.234,4.3,220.0,38.0,182.0,0.193,295.3,74.2,32.0,38.0,0.45,4.2,6.0,2.5,57.0,78.8,Secondary Exploration Zone
N13,Chandrayaan-3 Shiv Shakti,-69.373,32.31900000000002,-180,8.1,13.0,1380,50.0,4380,354,354,0,0.0,109,0.04,4.4,384.0,100.0,284.0,0.195,295.0,29.8,78.0,14.0,0.45,4.2,5.3,0.2,60.5,77.7,Secondary Exploration Zone
N14,Chandrayaan-1 Jawahar Point,-89.9,0.0,3900,8.4,13.5,5100,60.0,5600,1580,58,1,0.36,268,0.198,4.5,220.0,38.0,182.0,0.197,294.8,60.3,78.0,14.0,0.45,4.2,6.1,0.4,64.0,76.6,Secondary Exploration Zone
N15,Chandrayaan-2 Tiranga Point,-70.9,22.779999999999973,-320,4.2,14.0,1520,50.0,4380,354,354,0,0.0,65,0.04,4.6,384.0,100.0,284.0,0.173,297.8,30.2,78.0,14.0,0.45,4.2,5.3,0.6,67.5,75.5,Secondary Exploration Zone
N16,Chandrayaan-4 / LUPEX Site,-89.1,115.0,3700,4.5,6.5,4900,56.0,5300,1420,82,1,0.29,232,0.162,4.7,220.0,38.0,182.0,0.175,297.6,73.6,32.0,38.0,0.45,4.2,6.1,0.8,71.0,74.4,Secondary Exploration Zone
N17,Apollo 11 Tranquility Base,0.674,23.473000000000013,-2450,2.6,7.0,3650,50.0,4380,354,354,0,0.0,81,0.04,4.8,384.0,100.0,284.0,0.164,299.0,100.0,32.0,38.0,11.2,18.5,2.5,1.0,74.5,73.3,Spaceport / Landing Pad
N18,Apollo 12 Ocean of Storms,-3.012,336.578,-2100,3.0,7.5,3300,50.0,4380,354,354,0,0.0,89,0.04,4.9,384.0,100.0,284.0,0.167,298.7,91.6,32.0,38.0,11.2,18.5,2.6,1.2,78.0,72.2,Spaceport / Landing Pad
N19,Apollo 14 Fra Mauro,-3.645,342.529,-1450,3.4,8.0,2650,50.0,4380,354,354,0,0.0,97,0.04,5.0,384.0,100.0,284.0,0.169,298.4,95.2,32.0,38.0,0.45,4.2,2.6,1.4,81.5,71.1,Spaceport / Landing Pad
N20,Apollo 15 Hadley Rille,26.132,3.634000000000015,-1800,3.8,8.5,3000,50.0,4380,354,354,0,0.0,105,0.04,5.1,384.0,100.0,284.0,0.171,298.1,100.0,78.0,14.0,11.2,18.5,3.5,1.6,85.0,70.0,Secondary Exploration Zone
N21,Apollo 16 Descartes Highlands,-8.973,15.49799999999999,1200,4.2,9.0,2400,50.0,4380,354,354,0,0.0,113,0.04,5.2,384.0,100.0,284.0,0.173,297.8,100.0,32.0,38.0,0.45,4.2,2.9,1.8,88.5,68.9,Secondary Exploration Zone
N22,Apollo 17 Taurus-Littrow,20.191,30.77199999999999,-2580,4.6,9.5,3780,50.0,4380,354,354,0,0.0,121,0.04,5.3,384.0,100.0,284.0,0.176,297.5,100.0,32.0,38.0,11.2,18.5,3.3,2.0,92.0,67.8,Secondary Exploration Zone
N23,Artemis III Candidate Rim,-89.5,45.0,4250,6.6,10.0,5450,82.0,4250,1760,166,1,0.79,106,0.436,3.1,220.0,38.0,182.0,0.187,296.1,70.0,78.0,14.0,0.45,4.2,6.1,2.2,95.5,91.7,ISRU Cryogenic Mining Outpost
