sample_id,latitude_deg,longitude_deg,m3_plagioclase_pct,m3_pyroxene_pct,m3_olivine_pct,ilmenite_tio2_pct,feo_iron_oxide_pct,thorium_ppm,m3_3um_h2o_band_depth,regolith_depth_m,isru_oxygen_potential_pct
PDS_M3_00073,-81.8454,-149.2549,74.0,15.3,10.7,0.39,3.61,1.3,0.052,5.9,43.1
PDS_M3_00074,-82.9314,170.0861,76.3,14.6,9.1,0.52,4.07,0.97,0.127,5.1,44.0
PDS_M3_00075,-82.7099,6.4838,77.3,13.8,8.9,0.51,3.84,1.35,0.182,5.7,44.0
PDS_M3_00076,-82.2873,41.107,72.0,17.0,11.0,0.42,4.31,1.48,0.141,7.4,43.3
PDS_M3_00077,-89.2596,-94.8205,78.9,12.6,8.5,0.4,4.84,0.92,0.043,5.7,43.5
PDS_M3_00078,-86.4153,-5.9407,76.3,13.3,10.4,0.15,3.99,0.84,0.061,6.3,43.4
PDS_M3_00079,-88.8413,-25.5062,69.1,20.5,10.4,0.46,4.66,0.93,0.094,6.3,43.3
PDS_M3_00080,-81.369,-153.0375,72.3,19.8,7.9,0.4,3.09,1.51,0.064,6.5,43.4
PDS_M3_00081,-83.767,-141.7823,74.0,18.6,7.4,0.49,4.91,1.03,0.05,4.5,43.5
PDS_M3_00082,-86.691,121.4901,75.7,13.4,10.9,0.52,3.84,0.77,0.086,4.6,43.4
PDS_M3_00083,-89.3644,-93.6648,83.6,7.7,8.7,0.64,3.82,0.79,0.084,4.9,44.2
PDS_M3_00084,-86.8902,-109.815,77.0,16.0,7.0,0.31,4.52,0.83,0.114,6.5,43.9
PDS_M3_00085,-86.7482,1.7681,72.6,18.4,9.0,0.26,4.56,0.89,0.22,6.1,43.5
PDS_M3_00086,-82.7039,96.749,76.9,13.6,9.5,0.36,4.11,0.68,0.103,6.1,43.5
PDS_M3_00087,-83.6244,-157.6993,74.6,15.3,10.1,0.34,3.49,1.28,0.063,5.7,43.4
PDS_M3_00088,-81.1279,27.6509,77.3,11.9,10.8,0.33,3.82,1.04,0.22,4.2,43.9
PDS_M3_00089,-85.2779,-137.0842,78.3,11.0,10.7,0.67,4.28,1.26,0.091,5.1,43.8
PDS_M3_00090,-88.8041,-166.874,80.8,8.4,10.8,0.47,4.59,0.41,0.102,6.1,43.9
PDS_M3_00091,-82.8676,-161.0122,75.9,17.0,7.1,0.75,3.54,1.42,0.067,5.6,44.0
PDS_M3_00092,-82.3921,120.2991,82.6,7.6,9.8,0.45,3.69,1.08,0.076,6.0,43.9
PDS_M3_00093,-84.3872,-137.5299,79.6,12.5,7.9,0.27,4.41,1.25,0.073,3.9,44.3
PDS_M3_00094,-82.2903,-163.7455,73.2,19.0,7.8,0.33,4.13,1.56,0.205,5.8,42.8
PDS_M3_00095,-85.062,-22.356,84.8,5.0,10.2,0.6,4.32,1.21,0.14,3.3,43.4
PDS_M3_00096,-84.7727,123.8376,77.3,14.0,8.7,0.28,2.11,1.73,0.046,4.2,44.4
PDS_M3_00097,-85.7246,-85.533,72.7,16.6,10.7,0.53,3.96,0.54,0.063,4.6,43.4
PDS_M3_00098,-89.7458,-28.1835,82.6,10.2,7.2,0.4,4.88,1.0,0.043,3.6,44.0
PDS_M3_00099,-88.9211,-165.6279,84.3,5.5,10.2,0.31,3.71,0.56,0.084,4.8,44.5
PDS_M3_00100,-89.6857,-18.3317,75.9,16.6,7.5,0.66,4.59,1.19,0.06,6.1,43.8
PDS_M3_00101,-83.6359,27.9407,74.0,18.3,7.7,0.36,3.23,1.12,0.045,7.2,44.0
PDS_M3_00102,-86.8564,25.5265,75.3,15.8,8.9,0.33,2.95,0.77,0.129,5.2,43.9
PDS_M3_00103,-84.9143,-60.3264,78.9,12.5,8.6,0.44,4.53,1.75,0.046,5.0,44.2
PDS_M3_00104,-80.9243,-66.4081,81.1,10.0,8.9,0.37,4.16,0.99,0.059,5.7,44.0
PDS_M3_00105,-87.5071,-141.6155,78.3,10.9,10.8,0.78,3.93,0.44,0.129,5.5,44.0
PDS_M3_00106,-85.8962,-47.9526,76.4,14.0,9.6,0.61,4.88,1.3,0.083,4.6,43.4
PDS_M3_00107,-82.4445,-144.1819,82.0,9.8,8.2,0.36,3.95,1.31,0.142,6.4,44.1
PDS_M3_00108,-87.712,95.9745,74.7,17.6,7.7,0.38,3.69,0.96,0.072,5.4,43.6
PDS_M3_00109,-89.2302,167.8587,80.1,11.2,8.7,0.15,3.61,1.34,0.141,5.0,43.8
PDS_M3_00110,-87.1025,169.2268,74.8,16.4,8.8,0.47,3.44,0.81,0.086,5.1,42.9
PDS_M3_00111,-88.3878,131.4256,77.7,12.9,9.4,0.34,4.57,0.97,0.046,8.6,43.6
PDS_M3_00112,-80.703,36.2852,75.5,16.4,8.1,0.46,3.95,1.22,0.078,6.7,43.6
PDS_M3_00113,-81.9188,72.3117,75.8,14.1,10.1,0.16,5.11,1.38,0.088,5.4,44.3
PDS_M3_00114,-83.666,-77.3259,74.5,18.1,7.4,0.45,1.84,1.03,0.097,2.9,43.5
PDS_M3_00115,-81.2854,47.0774,81.4,9.4,9.2,0.7,4.94,0.96,0.198,3.8,44.0
PDS_M3_00116,-81.9633,-15.9662,73.1,17.4,9.5,0.46,4.49,1.09,0.052,5.9,44.1
PDS_M3_00117,-88.1343,-6.4738,73.0,19.2,7.8,0.33,4.13,0.49,0.096,5.5,43.1
PDS_M3_00118,-81.0744,92.7996,84.5,5.2,10.3,0.45,3.17,1.02,0.124,4.4,43.8
PDS_M3_00119,-84.6066,-78.5094,79.9,10.6,9.5,0.44,2.87,0.51,0.172,5.6,44.1
PDS_M3_00120,-81.9256,-65.5057,66.5,23.9,9.6,0.78,4.8,0.85,0.085,4.9,44.3
PDS_M3_00121,-81.0391,152.871,73.7,17.3,9.0,0.4,4.39,0.67,0.054,5.0,42.8
PDS_M3_00122,-86.82,-159.7593,68.8,20.6,10.6,0.27,4.38,1.26,0.142,5.6,43.4
PDS_M3_00123,-88.8995,-5.1717,72.2,18.0,9.8,0.45,4.12,0.88,0.181,4.6,43.8
PDS_M3_00124,-87.7206,148.6083,63.4,28.1,8.5,0.48,4.88,1.47,0.047,4.1,43.6
PDS_M3_00125,-85.7289,39.7307,75.5,16.5,8.0,0.53,3.73,0.55,0.056,4.2,44.5
PDS_M3_00126,-81.8199,16.7065,71.4,21.3,7.3,0.56,3.93,1.03,0.163,5.3,43.2
PDS_M3_00127,-81.3927,-90.0921,76.2,16.1,7.7,0.74,4.06,1.13,0.08,3.9,43.6
PDS_M3_00128,-89.9305,-56.4208,69.5,19.5,11.0,0.36,4.03,1.25,0.051,8.4,42.8
PDS_M3_00129,-84.8925,126.7374,76.3,15.1,8.6,0.35,5.27,1.75,0.102,6.9,43.7
PDS_M3_00130,-85.8259,21.3185,74.3,15.1,10.6,0.17,3.2,0.51,0.077,6.7,43.8
PDS_M3_00131,-87.7789,5.3072,82.0,10.3,7.7,0.55,2.64,0.87,0.22,4.7,44.7
PDS_M3_00132,-88.8013,-144.1513,81.6,9.7,8.7,0.32,3.04,1.7,0.055,4.8,44.5
PDS_M3_00133,-86.6238,-174.2299,79.1,10.1,10.8,0.58,4.75,0.82,0.067,4.1,44.4
PDS_M3_00134,-80.5709,166.9267,74.7,17.9,7.4,0.38,4.12,1.23,0.051,8.0,43.3
PDS_M3_00135,-86.768,-44.285,83.9,6.7,9.4,0.71,2.92,0.82,0.043,7.4,44.1
PDS_M3_00136,-84.8121,37.1567,69.8,19.5,10.7,0.23,4.28,0.68,0.059,6.6,43.6
PDS_M3_00137,-82.9698,-151.3026,70.4,18.8,10.8,0.6,3.94,0.86,0.143,5.7,43.7
PDS_M3_00138,-86.3637,65.9211,75.7,13.9,10.4,0.59,4.65,1.69,0.059,5.3,43.6
PDS_M3_00139,-80.2822,155.724,85.0,5.0,10.0,0.53,4.84,0.75,0.112,6.4,44.4
PDS_M3_00140,-80.3755,27.2395,75.2,15.2,9.6,0.28,6.21,1.01,0.085,7.7,43.5
PDS_M3_00141,-87.4822,-134.5985,75.3,16.8,7.9,0.53,3.25,1.02,0.084,6.6,43.8
PDS_M3_00142,-85.0275,29.4197,70.2,19.9,9.9,0.47,2.71,1.37,0.131,4.5,44.0
PDS_M3_00143,-86.9912,95.885,79.8,9.3,10.9,0.18,4.67,1.44,0.098,4.9,44.7
PDS_M3_00144,-87.1516,-33.69,79.8,11.1,9.1,0.68,4.99,1.13,0.05,6.4,43.5
PDS_M3_00145,-89.6311,136.7416,79.2,12.8,8.0,0.4,3.18,0.4,0.055,4.8,44.0
PDS_M3_00146,-83.9044,53.5259,73.5,17.2,9.3,0.67,3.18,0.83,0.087,5.2,43.8
PDS_M3_00147,-84.9732,143.7296,73.2,17.0,9.8,0.44,4.48,0.74,0.152,7.6,44.0
PDS_M3_00148,-89.4852,44.4619,70.8,21.4,7.8,0.6,5.57,1.45,0.05,5.4,44.1
PDS_M3_00149,-87.2135,-132.7363,76.3,13.8,9.9,0.32,3.5,0.82,0.047,3.9,43.5
PDS_M3_00150,-80.9173,-68.511,71.7,19.0,9.3,0.48,4.27,1.61,0.084,9.3,43.5
PDS_M3_00151,-87.6044,-107.3538,71.3,19.3,9.4,0.47,2.68,1.22,0.053,7.1,43.5
PDS_M3_00152,-88.5511,147.1775,74.3,17.5,8.2,0.4,4.04,1.44,0.22,5.7,43.8
PDS_M3_00153,-85.1055,93.744,74.0,18.4,7.6,0.32,4.11,1.78,0.04,5.8,43.9
PDS_M3_00154,-80.1435,63.5034,73.8,16.7,9.5,0.1,5.37,0.82,0.076,3.2,43.4
PDS_M3_00155,-87.5794,-71.6521,77.9,12.8,9.3,0.32,3.63,0.61,0.051,5.3,44.5
PDS_M3_00156,-83.2786,-113.7439,76.3,15.3,8.4,0.56,4.75,1.16,0.109,4.9,42.9
PDS_M3_00157,-82.3838,92.3224,74.8,17.0,8.2,0.24,3.58,1.39,0.1,5.9,43.1
PDS_M3_00158,-87.6236,-9.3031,76.7,14.9,8.4,0.27,4.27,0.9,0.139,7.8,43.9
PDS_M3_00159,-82.7178,-98.7158,72.0,19.0,9.0,0.23,5.86,1.11,0.09,6.3,43.5
PDS_M3_00160,-86.3222,41.9839,76.4,12.7,10.9,0.48,5.63,1.47,0.053,8.2,43.4
PDS_M3_00161,-83.6769,-165.4798,76.6,13.3,10.1,0.32,5.77,1.44,0.043,4.1,44.1
PDS_M3_00162,-83.6647,-62.5787,70.0,19.6,10.4,0.63,4.52,0.93,0.117,3.9,43.8
PDS_M3_00163,-84.6423,-11.3195,80.0,11.0,9.0,0.56,4.03,1.18,0.075,7.3,44.3
PDS_M3_00164,-89.0971,-126.735,72.5,18.4,9.1,0.48,4.43,0.82,0.055,5.9,43.1
PDS_M3_00165,-81.647,174.4756,76.4,15.8,7.8,0.5,4.57,0.67,0.057,6.4,44.0
PDS_M3_00166,-86.7922,-104.7249,80.7,9.4,9.9,0.34,4.51,1.51,0.05,5.8,44.1
PDS_M3_00167,-88.1348,-133.0729,79.7,11.6,8.7,0.34,3.63,0.46,0.06,6.0,43.4
PDS_M3_00168,-89.5922,-106.7274,76.1,13.9,10.0,0.56,3.6,1.16,0.134,6.6,43.7
PDS_M3_00169,-84.0911,96.862,74.6,16.8,8.6,0.59,3.72,0.99,0.098,6.1,44.0
PDS_M3_00170,-83.2244,-26.818,79.8,12.8,7.4,0.56,5.06,1.26,0.22,5.1,44.3
PDS_M3_00171,-89.8341,23.5497,78.7,13.6,7.7,0.38,5.14,0.89,0.085,8.6,43.7
PDS_M3_00172,-84.8791,-172.4367,73.5,16.3,10.2,0.39,6.75,1.44,0.084,5.9,43.1
PDS_M3_00173,-87.735,-167.6047,72.8,19.2,8.0,0.31,4.54,1.03,0.053,5.6,44.2
PDS_M3_00174,-83.5483,-19.5028,67.7,24.2,8.1,0.57,3.57,1.54,0.093,5.4,43.4
PDS_M3_00175,-88.2563,113.9959,76.6,12.7,10.7,0.16,3.82,1.17,0.096,6.2,42.9
PDS_M3_00176,-83.0906,138.686,75.7,14.7,9.6,0.12,4.07,0.79,0.054,5.5,43.6
PDS_M3_00177,-86.1326,-148.7856,80.5,12.0,7.5,0.15,5.4,1.26,0.046,3.4,44.3
PDS_M3_00178,-80.6327,13.8107,77.4,15.0,7.6,0.13,4.79,1.23,0.068,5.5,43.2
PDS_M3_00179,-88.6248,148.7627,81.3,10.6,8.1,0.65,3.12,1.07,0.051,4.5,43.9
PDS_M3_00180,-86.5893,-40.3298,73.2,17.4,9.4,0.57,4.15,0.88,0.082,6.1,43.4
PDS_M3_00181,-88.8653,118.6437,80.6,9.4,10.0,0.27,3.02,1.36,0.085,5.8,43.8
PDS_M3_00182,-80.7531,-131.8696,73.9,18.0,8.1,0.43,4.67,0.81,0.096,5.0,43.4
PDS_M3_00183,-81.2266,156.742,79.1,10.4,10.5,0.67,3.63,0.84,0.095,6.9,44.0
PDS_M3_00184,-87.4206,90.5124,70.2,22.4,7.4,0.53,3.71,1.26,0.107,5.7,43.4
PDS_M3_00185,-83.4002,158.8804,76.9,15.3,7.8,0.77,2.7,1.04,0.056,5.3,44.0
PDS_M3_00186,-81.8278,63.5822,68.1,21.0,10.9,0.43,4.81,0.51,0.119,5.4,43.2
PDS_M3_00187,-84.448,-49.1746,74.9,17.6,7.5,0.35,5.17,0.81,0.085,5.3,44.1
PDS_M3_00188,-84.7035,157.7452,77.8,11.6,10.6,0.29,3.65,1.22,0.075,6.4,43.7
PDS_M3_00189,-87.5815,-80.796,73.9,16.3,9.8,0.45,4.07,1.02,0.103,4.9,43.1
PDS_M3_00190,-89.069,-60.4179,71.8,20.9,7.3,0.59,3.82,1.07,0.082,5.9,43.2
PDS_M3_00191,-81.0278,72.291,79.4,11.7,8.9,0.46,4.03,1.18,0.085,5.2,43.3
PDS_M3_00192,-80.9958,95.5139,75.6,15.3,9.1,0.4,3.54,1.24,0.041,5.0,43.2
PDS_M3_00193,-83.669,154.5853,74.0,15.3,10.7,0.64,3.32,1.13,0.137,6.4,43.1
PDS_M3_00194,-86.6097,-106.2711,76.2,15.1,8.7,0.53,5.29,0.4,0.073,4.7,43.2
PDS_M3_00195,-86.5079,107.2793,86.5,5.0,8.5,0.43,2.09,1.08,0.084,6.4,44.0
PDS_M3_00196,-82.7404,85.8766,80.6,12.0,7.4,0.34,4.6,0.95,0.07,6.2,44.1
PDS_M3_00197,-81.0289,-157.034,80.7,9.7,9.6,0.41,4.43,1.11,0.088,7.4,43.3
PDS_M3_00198,-81.1291,-40.5997,77.7,14.5,7.8,0.52,5.52,1.42,0.043,3.7,43.4
PDS_M3_00199,-82.2012,-78.2044,76.7,16.0,7.3,0.33,4.01,0.78,0.069,7.0,44.0
PDS_M3_00200,-83.5797,-70.3834,66.4,22.6,11.0,0.26,3.9,1.12,0.106,5.4,43.3
PDS_M3_00201,-89.1586,173.8609,73.3,18.6,8.1,0.38,3.55,1.24,0.207,3.7,42.9
PDS_M3_00202,-88.3837,51.3999,74.1,18.3,7.6,0.44,4.48,1.01,0.154,5.0,43.6
PDS_M3_00203,-81.0145,78.3634,68.5,21.7,9.8,0.65,3.63,0.71,0.22,6.4,43.5
PDS_M3_00204,-83.9357,171.5823,71.4,18.3,10.3,0.28,3.3,0.74,0.131,5.7,43.6
PDS_M3_00205,-89.908,-44.2074,68.1,24.6,7.3,0.48,3.61,1.09,0.1,7.4,44.3
PDS_M3_00206,-88.9853,108.6625,75.8,16.8,7.4,0.41,3.44,0.91,0.073,5.4,43.4
PDS_M3_00207,-83.365,-23.5689,79.3,13.3,7.4,0.42,3.4,0.52,0.048,5.8,44.2
PDS_M3_00208,-89.9494,133.0321,80.4,12.4,7.2,0.68,4.27,0.86,0.057,5.6,43.8
PDS_M3_00209,-88.3919,-114.9633,77.7,12.7,9.6,0.46,4.04,0.71,0.059,4.6,43.9
PDS_M3_00210,-84.5127,161.167,72.1,18.5,9.4,0.31,4.64,1.32,0.074,5.8,43.3
PDS_M3_00211,-83.081,-101.2422,68.3,22.0,9.7,0.58,4.32,0.65,0.096,5.5,43.1
PDS_M3_00212,-83.4804,-62.5606,69.0,22.0,9.0,0.57,3.24,1.53,0.098,5.9,42.9
PDS_M3_00213,-87.7573,92.2292,70.9,18.8,10.3,0.3,2.5,1.75,0.076,5.9,42.9
PDS_M3_00214,-82.8782,-38.2481,72.4,18.4,9.2,0.27,3.36,0.88,0.059,5.8,43.8
PDS_M3_00215,-87.6275,38.9561,75.4,13.9,10.7,0.51,4.81,0.92,0.043,5.9,43.4
PDS_M3_00216,-86.746,-19.9535,71.9,19.2,8.9,0.45,4.79,1.38,0.22,7.1,44.5
PDS_M3_00217,-82.5351,87.2532,77.4,12.4,10.2,0.38,4.99,1.43,0.208,4.6,43.5
PDS_M3_00218,-83.5037,-97.8007,75.1,16.3,8.6,0.61,4.87,0.95,0.052,4.9,43.9
PDS_M3_00219,-81.5078,-158.9551,76.0,15.3,8.7,0.36,5.07,0.97,0.096,7.5,43.7
PDS_M3_00220,-83.4239,-72.0254,80.6,9.0,10.4,0.51,4.53,0.97,0.061,7.3,43.1
PDS_M3_00221,-84.3169,-9.2489,71.3,21.3,7.4,0.63,5.64,0.84,0.053,6.1,43.0
PDS_M3_00222,-89.0633,-119.5128,77.7,13.0,9.3,0.4,4.43,1.37,0.109,8.2,43.1
PDS_M3_00223,-86.3228,-52.273,75.9,14.2,9.9,0.18,5.8,1.15,0.133,6.4,44.2
PDS_M3_00224,-87.348,-36.0061,74.7,15.3,10.0,0.39,3.7,0.88,0.071,8.0,44.1
PDS_M3_00225,-87.5601,-159.3389,79.5,11.1,9.4,0.48,3.68,1.12,0.044,7.6,44.6
PDS_M3_00226,-80.2699,29.9906,79.5,11.7,8.8,0.6,4.05,0.99,0.071,7.8,42.9
PDS_M3_00227,-86.069,138.3636,72.2,19.8,8.0,0.37,4.17,1.85,0.086,4.4,43.0
PDS_M3_00228,-81.0795,-125.3726,75.3,14.1,10.6,0.71,3.94,1.03,0.174,6.6,43.9
PDS_M3_00229,-83.6886,35.2109,77.1,14.4,8.5,0.26,4.63,1.32,0.104,5.7,43.4
PDS_M3_00230,-82.0519,59.3061,74.9,14.9,10.2,0.47,4.12,1.23,0.114,4.2,43.9
PDS_M3_00231,-84.9736,-29.0395,78.3,14.6,7.1,0.41,3.71,1.05,0.054,7.4,43.6
PDS_M3_00232,-84.231,72.3951,77.1,15.0,7.9,0.65,3.88,1.23,0.116,7.2,43.5
PDS_M3_00233,-85.0748,-32.1366,83.3,8.3,8.4,0.23,5.17,1.16,0.082,5.6,43.2
PDS_M3_00234,-88.0476,1.6694,69.9,20.4,9.7,0.51,4.45,1.85,0.143,5.1,43.2
PDS_M3_00235,-82.7755,-177.3529,75.5,16.2,8.3,0.41,2.86,1.07,0.055,5.9,43.8
PDS_M3_00236,-87.1923,69.0192,72.4,20.4,7.2,0.68,5.41,0.4,0.083,3.6,43.1
PDS_M3_00237,-89.7568,58.0834,78.4,13.9,7.7,0.33,4.55,1.76,0.054,4.2,43.8
PDS_M3_00238,-83.5453,-166.1757,69.5,22.5,8.0,0.51,4.71,0.95,0.06,5.4,43.0
PDS_M3_00239,-88.2289,-47.43,77.4,14.9,7.7,0.32,4.94,1.13,0.147,6.5,43.4
