sample_id,latitude_deg,longitude_deg,annual_illumination_pct,sunlight_hours_yr,max_continuous_sunlight_hrs,max_continuous_darkness_hrs,psr_flag,direct_earth_visibility_pct,solar_energy_yield_kwh_m2_yr
ILLUM_00052,-80.605,-113.1203,59.9,5247,556,592,0,53.8,6856
ILLUM_00053,-81.0517,-149.4121,41.0,3592,613,600,0,35.1,4693
ILLUM_00054,-84.021,-22.9514,16.6,1454,0,515,0,8.0,1900
ILLUM_00055,-80.7813,56.9907,66.0,5782,322,626,0,72.5,7554
ILLUM_00056,-89.1151,-22.4219,22.5,1971,531,632,0,15.9,2575
ILLUM_00057,-88.0402,-80.3685,48.5,4249,604,565,0,38.5,5551
ILLUM_00058,-89.5477,20.9416,30.6,2681,674,383,0,32.7,3502
ILLUM_00059,-86.7467,-55.0792,85.2,7464,1763,61,0,80.3,9752
ILLUM_00060,-86.1132,155.8324,21.0,1840,362,593,0,25.8,2404
ILLUM_00061,-87.2865,152.1523,0.0,0,0,8760,1,0.0,0
ILLUM_00062,-81.7126,0.8539,87.4,7656,1839,67,0,91.3,10003
ILLUM_00063,-86.4325,-61.9618,29.8,2610,350,418,0,21.5,3411
ILLUM_00064,-87.1907,85.3677,58.6,5133,489,466,0,71.2,6707
ILLUM_00065,-84.573,-166.7833,29.4,2575,539,422,0,27.8,3365
ILLUM_00066,-88.5908,-9.0832,7.5,657,0,650,0,8.9,858
ILLUM_00067,-81.978,-58.9236,57.0,4993,680,668,0,51.1,6524
ILLUM_00068,-89.2545,151.3929,87.4,7656,1722,61,0,91.8,10003
ILLUM_00069,-80.1311,-175.6789,42.3,3705,454,740,0,42.2,4841
ILLUM_00070,-82.2776,19.0134,60.6,5309,397,635,0,62.7,6936
ILLUM_00071,-88.0128,86.6389,55.1,4827,356,361,0,67.8,6306
ILLUM_00072,-89.9448,-5.3935,37.9,3320,469,625,0,38.5,4338
ILLUM_00073,-81.8454,-149.2549,57.3,5019,567,541,0,53.3,6558
ILLUM_00074,-82.9314,170.0861,23.6,2067,637,725,0,26.4,2701
ILLUM_00075,-82.7099,6.4838,32.2,2821,359,532,0,37.0,3685
ILLUM_00076,-82.2873,41.107,42.0,3679,363,617,0,48.6,4807
ILLUM_00077,-89.2596,-94.8205,77.9,6824,1175,81,0,72.1,8916
ILLUM_00078,-86.4153,-5.9407,32.2,2821,662,371,0,32.1,3685
ILLUM_00079,-88.8413,-25.5062,54.5,4774,489,587,0,56.0,6238
ILLUM_00080,-81.369,-153.0375,18.4,1612,0,525,0,15.7,2106
ILLUM_00081,-83.767,-141.7823,23.1,2024,543,650,0,17.8,2644
ILLUM_00082,-86.691,121.4901,61.1,5352,476,375,0,70.1,6993
ILLUM_00083,-89.3644,-93.6648,68.0,5957,458,458,0,62.4,7783
ILLUM_00084,-86.8902,-109.815,41.0,3592,341,716,0,34.5,4693
ILLUM_00085,-86.7482,1.7681,34.5,3022,319,456,0,32.1,3949
ILLUM_00086,-82.7039,96.749,88.1,7718,1663,68,0,96.4,10083
ILLUM_00087,-83.6244,-157.6993,13.6,1191,0,581,0,9.1,1557
ILLUM_00088,-81.1279,27.6509,69.2,6062,395,422,0,73.1,7920
ILLUM_00089,-85.2779,-137.0842,63.1,5528,319,546,0,58.8,7222
ILLUM_00090,-88.8041,-166.874,65.2,5712,315,351,0,63.3,7462
ILLUM_00091,-82.8676,-161.0122,0.0,0,0,8760,1,0.0,0
ILLUM_00092,-82.3921,120.2991,65.5,5738,574,377,0,77.8,7497
ILLUM_00093,-84.3872,-137.5299,28.3,2479,522,682,0,21.9,3239
ILLUM_00094,-82.2903,-163.7455,32.1,2812,312,530,0,30.8,3674
ILLUM_00095,-85.062,-22.356,36.9,3232,546,491,0,33.4,4223
ILLUM_00096,-84.7727,123.8376,5.0,438,0,456,0,11.2,572
ILLUM_00097,-85.7246,-85.533,81.6,7148,1200,86,0,76.8,9339
ILLUM_00098,-89.7458,-28.1835,6.8,596,0,580,0,2.3,778
ILLUM_00099,-88.9211,-165.6279,66.4,5817,538,730,0,64.0,7600
ILLUM_00100,-89.6857,-18.3317,69.2,6062,334,683,0,66.2,7920
ILLUM_00101,-83.6359,27.9407,0.0,0,0,8760,1,0.0,0
ILLUM_00102,-86.8564,25.5265,51.6,4520,693,547,0,56.9,5906
ILLUM_00103,-84.9143,-60.3264,68.5,6001,631,384,0,60.2,7840
ILLUM_00104,-80.9243,-66.4081,28.3,2479,579,625,0,19.6,3239
ILLUM_00105,-87.5071,-141.6155,70.7,6193,1071,236,0,64.6,8092
ILLUM_00106,-85.8962,-47.9526,28.9,2532,624,405,0,25.2,3308
ILLUM_00107,-82.4445,-144.1819,81.2,7113,1076,216,0,79.9,9294
ILLUM_00108,-87.712,95.9745,16.3,1428,0,352,0,25.5,1866
ILLUM_00109,-89.2302,167.8587,28.5,2497,397,673,0,32.1,3262
ILLUM_00110,-87.1025,169.2268,48.5,4249,615,744,0,49.3,5551
ILLUM_00111,-88.3878,131.4256,72.4,6342,1026,228,0,81.2,8287
ILLUM_00112,-80.703,36.2852,67.5,5913,310,710,0,77.1,7726
ILLUM_00113,-81.9188,72.3117,17.6,1542,0,410,0,29.5,2014
ILLUM_00114,-83.666,-77.3259,9.6,841,0,535,0,3.9,1099
ILLUM_00115,-81.2854,47.0774,29.5,2584,339,726,0,36.2,3376
ILLUM_00116,-81.9633,-15.9662,44.5,3898,507,378,0,43.2,5093
ILLUM_00117,-88.1343,-6.4738,51.7,4529,373,689,0,50.1,5917
ILLUM_00118,-81.0744,92.7996,40.2,3522,333,600,0,50.8,4601
ILLUM_00119,-84.6066,-78.5094,0.0,0,0,8760,1,0.0,0
ILLUM_00120,-81.9256,-65.5057,41.2,3609,378,436,0,31.5,4716
ILLUM_00121,-81.0391,152.871,87.3,7647,1788,58,0,94.5,9992
ILLUM_00122,-86.82,-159.7593,23.5,2059,394,646,0,21.3,2690
ILLUM_00123,-88.8995,-5.1717,58.0,5081,304,561,0,58.7,6638
ILLUM_00124,-87.7206,148.6083,58.2,5098,606,459,0,63.3,6661
ILLUM_00125,-85.7289,39.7307,0.0,0,0,8760,1,0.0,0
ILLUM_00126,-81.8199,16.7065,39.9,3495,357,474,0,42.0,4567
ILLUM_00127,-81.3927,-90.0921,33.9,2970,422,717,0,24.7,3880
ILLUM_00128,-89.9305,-56.4208,15.2,1332,0,527,0,8.1,1740
ILLUM_00129,-84.8925,126.7374,44.5,3898,302,710,0,53.4,5093
ILLUM_00130,-85.8259,21.3185,38.1,3338,322,740,0,40.4,4361
ILLUM_00131,-87.7789,5.3072,18.8,1647,0,591,0,17.9,2152
ILLUM_00132,-88.8013,-144.1513,42.4,3714,602,713,0,36.9,4853
ILLUM_00133,-86.6238,-174.2299,40.3,3530,587,450,0,39.1,4613
ILLUM_00134,-80.5709,166.9267,0.0,0,0,8760,1,0.0,0
ILLUM_00135,-86.768,-44.285,11.0,964,0,634,0,5.5,1259
ILLUM_00136,-84.8121,37.1567,60.8,5326,552,672,0,67.6,6959
ILLUM_00137,-82.9698,-151.3026,64.5,5650,335,708,0,62.3,7382
ILLUM_00138,-86.3637,65.9211,85.0,7446,1261,159,0,98.5,9729
ILLUM_00139,-80.2822,155.724,7.2,631,0,685,0,12.4,824
ILLUM_00140,-80.3755,27.2395,7.6,666,0,499,0,15.8,870
ILLUM_00141,-87.4822,-134.5985,5.0,438,0,690,0,0.0,572
ILLUM_00142,-85.0275,29.4197,53.3,4669,496,435,0,55.5,6100
ILLUM_00143,-86.9912,95.885,59.9,5247,686,486,0,69.1,6856
ILLUM_00144,-87.1516,-33.69,36.8,3224,550,692,0,32.8,4212
ILLUM_00145,-89.6311,136.7416,74.9,6561,904,127,0,82.7,8573
ILLUM_00146,-83.9044,53.5259,61.6,5396,678,550,0,73.3,7050
ILLUM_00147,-84.9732,143.7296,92.5,8103,1623,76,0,98.5,10587
ILLUM_00148,-89.4852,44.4619,13.3,1165,0,641,0,20.1,1522
ILLUM_00149,-87.2135,-132.7363,5.0,438,0,588,0,0.0,572
ILLUM_00150,-80.9173,-68.511,24.8,2172,585,610,0,16.8,2838
ILLUM_00151,-87.6044,-107.3538,5.0,438,0,567,0,0.0,572
ILLUM_00152,-88.5511,147.1775,88.0,7709,1601,50,0,94.0,10072
ILLUM_00153,-85.1055,93.744,28.0,2453,347,373,0,38.9,3205
ILLUM_00154,-80.1435,63.5034,47.9,4196,512,712,0,61.4,5482
ILLUM_00155,-87.5794,-71.6521,28.5,2497,600,619,0,20.7,3262
ILLUM_00156,-83.2786,-113.7439,21.2,1857,336,568,0,14.2,2426
ILLUM_00157,-82.3838,92.3224,11.1,972,0,361,0,24.5,1270
ILLUM_00158,-87.6236,-9.3031,28.1,2462,557,431,0,28.8,3216
ILLUM_00159,-82.7178,-98.7158,52.6,4608,313,649,0,48.6,6020
ILLUM_00160,-86.3222,41.9839,88.0,7709,1653,62,0,98.5,10072
ILLUM_00161,-83.6769,-165.4798,52.0,4555,413,415,0,50.5,5952
ILLUM_00162,-83.6647,-62.5787,50.2,4398,477,515,0,41.7,5746
ILLUM_00163,-84.6423,-11.3195,5.0,438,0,445,0,1.4,572
ILLUM_00164,-89.0971,-126.735,79.6,6973,986,231,0,71.8,9111
ILLUM_00165,-81.647,174.4756,6.5,569,0,662,0,5.2,744
ILLUM_00166,-86.7922,-104.7249,81.8,7166,1058,90,0,76.4,9362
ILLUM_00167,-88.1348,-133.0729,47.1,4126,662,565,0,43.9,5391
ILLUM_00168,-89.5922,-106.7274,15.7,1375,0,735,0,6.4,1797
ILLUM_00169,-84.0911,96.862,42.9,3758,629,730,0,52.8,4910
ILLUM_00170,-83.2244,-26.818,90.4,7919,1512,40,0,90.0,10347
ILLUM_00171,-89.8341,23.5497,28.7,2514,331,707,0,33.0,3285
ILLUM_00172,-84.8791,-172.4367,28.6,2505,535,587,0,24.3,3273
ILLUM_00173,-87.735,-167.6047,8.2,718,0,688,0,9.1,939
ILLUM_00174,-83.5483,-19.5028,55.2,4836,612,588,0,53.4,6318
ILLUM_00175,-88.2563,113.9959,10.3,902,0,495,0,17.6,1179
ILLUM_00176,-83.0906,138.686,70.5,6176,1406,155,0,79.4,8069
ILLUM_00177,-86.1326,-148.7856,85.9,7525,1840,39,0,82.1,9832
ILLUM_00178,-80.6327,13.8107,88.0,7709,1723,42,0,90.9,10072
ILLUM_00179,-88.6248,148.7627,9.4,823,0,593,0,15.4,1076
ILLUM_00180,-86.5893,-40.3298,49.5,4336,603,413,0,46.6,5666
ILLUM_00181,-88.8653,118.6437,8.8,771,0,565,0,18.0,1007
ILLUM_00182,-80.7531,-131.8696,50.7,4441,367,504,0,46.9,5803
ILLUM_00183,-81.2266,156.742,74.3,6509,1371,165,0,81.4,8504
ILLUM_00184,-87.4206,90.5124,50.6,4433,355,467,0,61.1,5791
ILLUM_00185,-83.4002,158.8804,81.0,7096,1164,113,0,86.4,9271
ILLUM_00186,-81.8278,63.5822,76.2,6675,1168,153,0,85.1,8721
ILLUM_00187,-84.448,-49.1746,26.0,2278,351,716,0,18.7,2976
ILLUM_00188,-84.7035,157.7452,56.7,4967,424,421,0,63.6,6490
ILLUM_00189,-87.5815,-80.796,5.0,438,0,594,0,0.0,572
ILLUM_00190,-89.069,-60.4179,0.0,0,0,8760,1,0.0,0
ILLUM_00191,-81.0278,72.291,22.5,1971,324,575,0,32.1,2575
ILLUM_00192,-80.9958,95.5139,86.3,7560,1724,66,0,98.5,9877
ILLUM_00193,-83.669,154.5853,38.2,3346,693,417,0,42.8,4372
ILLUM_00194,-86.6097,-106.2711,59.1,5177,635,392,0,52.5,6764
ILLUM_00195,-86.5079,107.2793,62.8,5501,687,718,0,79.1,7188
ILLUM_00196,-82.7404,85.8766,73.6,6447,1428,147,0,83.4,8424
ILLUM_00197,-81.0289,-157.034,69.4,6079,458,406,0,66.0,7943
ILLUM_00198,-81.1291,-40.5997,26.6,2330,550,467,0,21.0,3044
ILLUM_00199,-82.2012,-78.2044,61.7,5405,587,382,0,55.4,7062
ILLUM_00200,-83.5797,-70.3834,50.4,4415,451,626,0,42.7,5769
ILLUM_00201,-89.1586,173.8609,51.8,4538,614,718,0,57.8,5929
ILLUM_00202,-88.3837,51.3999,5.0,438,0,478,0,7.9,572
ILLUM_00203,-81.0145,78.3634,20.0,1752,0,351,0,34.3,2289
ILLUM_00204,-83.9357,171.5823,86.3,7560,1803,38,0,89.9,9877
ILLUM_00205,-89.908,-44.2074,25.4,2225,499,528,0,20.6,2907
ILLUM_00206,-88.9853,108.6625,40.2,3522,492,475,0,51.1,4601
ILLUM_00207,-83.365,-23.5689,15.0,1314,0,723,0,13.7,1717
ILLUM_00208,-89.9494,133.0321,15.8,1384,0,584,0,20.5,1808
ILLUM_00209,-88.3919,-114.9633,20.0,1752,0,423,0,10.8,2289
ILLUM_00210,-84.5127,161.167,49.8,4362,415,423,0,55.8,5700
ILLUM_00211,-83.081,-101.2422,84.7,7420,1114,135,0,77.5,9694
ILLUM_00212,-83.4804,-62.5606,33.4,2926,426,589,0,22.1,3823
ILLUM_00213,-87.7573,92.2292,28.0,2453,659,506,0,40.7,3205
ILLUM_00214,-82.8782,-38.2481,50.0,4380,352,490,0,47.4,5723
ILLUM_00215,-87.6275,38.9561,30.7,2689,692,581,0,40.2,3514
ILLUM_00216,-86.746,-19.9535,82.9,7262,1308,92,0,83.1,9488
ILLUM_00217,-82.5351,87.2532,37.9,3320,543,390,0,45.9,4338
ILLUM_00218,-83.5037,-97.8007,44.2,3872,583,565,0,36.7,5059
ILLUM_00219,-81.5078,-158.9551,48.5,4249,360,694,0,47.1,5551
ILLUM_00220,-83.4239,-72.0254,72.7,6369,1425,170,0,64.8,8321
ILLUM_00221,-84.3169,-9.2489,52.1,4564,374,682,0,52.0,5963
ILLUM_00222,-89.0633,-119.5128,24.1,2111,669,747,0,14.0,2758
ILLUM_00223,-86.3228,-52.273,13.1,1148,0,390,0,3.9,1499
ILLUM_00224,-87.348,-36.0061,87.4,7656,1836,34,0,83.2,10003
ILLUM_00225,-87.5601,-159.3389,73.7,6456,1250,103,0,72.6,8435
ILLUM_00226,-80.2699,29.9906,5.0,438,0,554,0,7.2,572
ILLUM_00227,-86.069,138.3636,74.4,6517,1162,138,0,84.7,8515
ILLUM_00228,-81.0795,-125.3726,52.9,4634,415,634,0,48.0,6055
ILLUM_00229,-83.6886,35.2109,47.2,4135,387,555,0,55.1,5402
ILLUM_00230,-82.0519,59.3061,5.0,438,0,728,0,9.8,572
ILLUM_00231,-84.9736,-29.0395,70.6,6185,1355,175,0,69.3,8080
ILLUM_00232,-84.231,72.3951,17.1,1498,0,692,0,28.3,1957
ILLUM_00233,-85.0748,-32.1366,67.7,5931,396,480,0,63.8,7749
ILLUM_00234,-88.0476,1.6694,5.0,438,0,665,0,1.8,572
ILLUM_00235,-82.7755,-177.3529,72.9,6386,936,247,0,75.2,8344
ILLUM_00236,-87.1923,69.0192,5.0,438,0,447,0,11.5,572
ILLUM_00237,-89.7568,58.0834,20.9,1831,492,628,0,30.9,2392
ILLUM_00238,-83.5453,-166.1757,26.9,2356,654,539,0,23.1,3079
ILLUM_00239,-88.2289,-47.43,15.0,1314,0,615,0,7.6,1717
ILLUM_00240,-80.5954,172.4515,46.5,4073,503,353,0,47.0,5322
ILLUM_00241,-80.4607,-28.5348,24.7,2164,601,388,0,22.2,2827
ILLUM_00242,-80.8514,0.7003,91.6,8024,1580,70,0,94.5,10484
ILLUM_00243,-86.2984,147.5749,49.9,4371,583,693,0,60.5,5711
ILLUM_00244,-89.8454,78.2143,55.1,4827,419,383,0,63.6,6306
ILLUM_00245,-80.7168,29.5452,25.0,2190,507,565,0,25.9,2861
ILLUM_00246,-85.7182,107.2097,37.2,3259,523,469,0,48.4,4258
ILLUM_00247,-80.3335,131.1719,12.2,1069,0,630,0,19.3,1396
ILLUM_00248,-80.3638,-15.5203,70.8,6202,1174,192,0,69.8,8103
ILLUM_00249,-81.4699,-8.961,28.0,2453,410,617,0,29.9,3205
ILLUM_00250,-87.0555,-41.0217,72.1,6316,1024,141,0,64.9,8252
ILLUM_00251,-86.149,168.0142,33.8,2961,468,711,0,37.4,3869
ILLUM_00252,-81.4886,70.9799,87.4,7656,1731,39,0,98.5,10003
ILLUM_00253,-86.8308,-150.0397,14.4,1261,0,742,0,11.3,1648
ILLUM_00254,-88.3051,130.6655,5.0,438,0,664,0,7.7,572
ILLUM_00255,-84.432,-6.9984,55.3,4844,310,491,0,55.3,6329
ILLUM_00256,-80.6385,-155.2486,88.4,7744,1769,47,0,86.3,10118
ILLUM_00257,-83.0397,17.8982,62.2,5449,517,636,0,64.5,7119
ILLUM_00258,-84.2994,-29.8209,11.6,1016,0,565,0,3.2,1328
ILLUM_00259,-89.0282,135.9898,53.8,4713,650,402,0,58.3,6158
ILLUM_00260,-83.8499,-106.5619,82.1,7192,1004,242,0,76.8,9397
ILLUM_00261,-80.0995,117.5273,5.0,438,0,743,0,9.5,572
ILLUM_00262,-88.5992,20.7679,17.0,1489,0,455,0,19.4,1946
ILLUM_00263,-84.8167,-160.3403,74.3,6509,1438,107,0,74.0,8504
ILLUM_00264,-81.2263,169.8643,83.3,7297,1429,169,0,86.7,9534
ILLUM_00265,-82.5923,4.5415,66.2,5799,431,416,0,68.0,7577
ILLUM_00266,-83.0298,-75.2843,90.7,7945,1846,63,0,84.5,10381
ILLUM_00267,-82.9752,-11.0135,10.9,955,0,681,0,6.7,1248
ILLUM_00268,-86.4051,128.8288,50.9,4459,441,704,0,59.6,5826
ILLUM_00269,-87.0641,-70.2349,63.0,5519,548,713,0,55.7,7211
ILLUM_00270,-81.9064,-110.6365,62.5,5475,641,595,0,57.4,7153
ILLUM_00271,-81.8989,-133.5344,75.7,6631,1247,105,0,68.1,8664
ILLUM_00272,-81.3293,-72.7706,85.0,7446,974,111,0,77.6,9729
ILLUM_00273,-80.8676,100.8173,0.0,0,0,8760,1,0.0,0
ILLUM_00274,-84.8866,-10.2145,5.0,438,0,526,0,2.3,572
ILLUM_00275,-84.9848,-98.1066,35.3,3092,579,500,0,24.5,4040
ILLUM_00276,-82.017,-120.1734,59.9,5247,381,745,0,55.2,6856
ILLUM_00277,-83.5004,-60.2174,15.3,1340,0,634,0,11.6,1751
ILLUM_00278,-82.9803,158.3728,73.5,6439,1359,168,0,80.6,8412
ILLUM_00279,-82.0421,-56.5104,21.0,1840,602,437,0,12.5,2404
ILLUM_00280,-81.0999,175.7247,5.0,438,0,408,0,1.7,572
ILLUM_00281,-86.62,-5.317,47.3,4143,570,658,0,47.3,5414
ILLUM_00282,-86.2442,-115.501,66.9,5860,517,673,0,60.0,7657
ILLUM_00283,-89.0602,140.8104,32.7,2865,559,706,0,39.5,3743
ILLUM_00284,-84.2172,-14.2721,75.0,6570,1050,88,0,68.7,8584
ILLUM_00285,-89.6406,75.4817,41.1,3600,431,378,0,51.3,4704
ILLUM_00286,-85.344,174.1362,15.0,1314,0,352,0,17.3,1717
ILLUM_00287,-84.5736,-161.9369,8.2,718,0,700,0,5.5,939
ILLUM_00288,-87.1346,-145.19,65.3,5720,490,438,0,61.8,7474
ILLUM_00289,-84.0917,79.3644,35.8,3136,382,716,0,46.5,4097
ILLUM_00290,-89.695,-78.543,0.0,0,0,8760,1,0.0,0
ILLUM_00291,-89.6265,-113.6515,51.6,4520,687,628,0,42.2,5906
ILLUM_00292,-81.774,-165.8297,0.0,0,0,8760,1,0.0,0
ILLUM_00293,-86.3981,-172.1352,30.7,2689,538,435,0,31.8,3514
ILLUM_00294,-88.7294,98.8148,14.2,1244,0,570,0,22.4,1625
ILLUM_00295,-84.7776,-131.604,51.1,4476,401,720,0,48.9,5849
ILLUM_00296,-82.3001,-11.6206,58.2,5098,643,426,0,53.3,6661
ILLUM_00297,-87.8418,38.1229,0.0,0,0,8760,1,0.0,0
ILLUM_00298,-83.7711,-25.7934,22.1,1936,425,459,0,14.8,2529
ILLUM_00299,-89.1465,-170.2416,25.9,2269,589,718,0,25.9,2964
ILLUM_00300,-89.4832,102.0605,9.5,832,0,594,0,19.0,1087
ILLUM_00301,-84.6865,-176.2152,26.1,2286,598,385,0,27.4,2987
ILLUM_00302,-84.5936,94.2804,40.5,3548,627,743,0,50.6,4635
ILLUM_00303,-83.6257,141.5896,89.2,7814,1587,51,0,97.8,10209
ILLUM_00304,-82.7391,-24.1776,59.5,5212,439,614,0,57.9,6810
ILLUM_00305,-80.2415,12.7953,71.5,6263,1337,237,0,76.6,8184
ILLUM_00306,-84.837,-8.286,30.3,2654,678,677,0,29.5,3468
ILLUM_00307,-86.7704,-39.8849,0.0,0,0,8760,1,0.0,0
ILLUM_00308,-82.0481,139.4728,26.4,2313,658,640,0,30.9,3022
ILLUM_00309,-87.2917,141.8161,23.9,2094,443,728,0,30.5,2735
ILLUM_00310,-85.6103,-59.1061,53.6,4695,348,380,0,46.8,6135
ILLUM_00311,-89.2154,41.4251,32.8,2873,305,468,0,39.1,3754
ILLUM_00312,-89.7465,153.6867,78.1,6842,1217,120,0,85.9,8939
ILLUM_00313,-80.3735,166.3411,91.0,7972,1831,69,0,96.3,10415
ILLUM_00314,-81.6402,3.2253,27.9,2444,568,615,0,33.2,3193
ILLUM_00315,-83.0403,-16.9831,65.4,5729,472,672,0,64.1,7485
ILLUM_00316,-85.9105,-79.67,61.1,5352,308,724,0,52.6,6993
ILLUM_00317,-88.2671,165.1939,16.9,1480,0,511,0,21.0,1934
ILLUM_00318,-88.4356,-128.5869,85.8,7516,1599,50,0,79.4,9820
ILLUM_00319,-87.4976,28.7386,18.7,1638,0,644,0,23.8,2140
ILLUM_00320,-84.5077,-78.2819,67.1,5878,459,567,0,60.2,7680
ILLUM_00321,-82.854,-79.557,33.8,2961,418,545,0,23.2,3869
ILLUM_00322,-83.398,-34.2113,33.6,2943,658,745,0,29.3,3846
ILLUM_00323,-87.2007,179.5655,40.0,3504,388,672,0,43.3,4578
ILLUM_00324,-80.4513,-160.2121,76.4,6693,1303,198,0,78.7,8744
ILLUM_00325,-82.621,28.2751,15.8,1384,0,726,0,18.1,1808
ILLUM_00326,-84.4565,-150.274,5.3,464,0,479,0,0.2,607
ILLUM_00327,-83.8828,-124.3725,37.4,3276,324,361,0,29.9,4281
ILLUM_00328,-85.804,-21.7573,5.1,447,0,664,0,1.6,584
ILLUM_00329,-87.5227,3.7656,66.0,5782,362,730,0,66.0,7554
ILLUM_00330,-86.4403,-86.8347,70.6,6185,1405,138,0,62.2,8080
ILLUM_00331,-82.4215,-66.0754,82.2,7201,1079,111,0,72.1,9408
ILLUM_00332,-89.8561,-148.6919,69.1,6053,624,729,0,65.5,7909
ILLUM_00333,-88.8393,-70.8409,79.4,6955,1089,108,0,77.6,9088
ILLUM_00334,-89.54,167.961,0.0,0,0,8760,1,0.0,0
ILLUM_00335,-89.5927,160.0947,87.2,7639,1510,35,0,92.3,9980
ILLUM_00336,-81.4454,-59.4438,16.8,1472,0,403,0,9.7,1923
ILLUM_00337,-82.9634,25.5074,45.7,4003,683,355,0,51.8,5231
ILLUM_00338,-85.2583,147.4543,91.3,7998,1699,57,0,98.5,10450
ILLUM_00339,-89.0217,-177.7738,60.6,5309,681,357,0,64.4,6936
ILLUM_00340,-85.0838,111.8461,83.0,7271,1384,96,0,92.8,9500
ILLUM_00341,-85.2653,161.413,5.0,438,0,643,0,6.1,572
